CVE,num_of_author,baseSeverity,baseScore
CVE-2023-23397,3202,CRITICAL,9.8
CVE-2022-39952,1160,CRITICAL,9.8
CVE-2023-21716,883,CRITICAL,9.8
CVE-2023-21768,647,HIGH,7.8
CVE-2023-23752,612,MEDIUM,5.3
CVE-2023-23529,525,HIGH,8.8
CVE-2023-27532,490,HIGH,7.5
CVE-2021-21974,385,HIGH,8.8
CVE-2023-0669,337,HIGH,7.2
CVE-2023-25136,317,MEDIUM,6.5
CVE-2022-47966,285,CRITICAL,9.8
CVE-2023-25610,278,,
CVE-2023-0179,216,HIGH,7.8
CVE-2020-5741,195,HIGH,7.2
CVE-2022-41328,194,HIGH,7.1
CVE-2022-47986,191,CRITICAL,9.8
CVE-2023-21839,187,HIGH,7.5
CVE-2022-44666,184,HIGH,7.8
CVE-2023-20858,176,HIGH,7.2
CVE-2023-0286,176,HIGH,7.4
CVE-2023-21036,171,MEDIUM,5.5
CVE-2023-25725,165,CRITICAL,9.1
CVE-2023-1017,164,HIGH,7.8
CVE-2022-42475,155,CRITICAL,9.8
CVE-2023-28432,152,HIGH,7.5
CVE-2023-23415,149,CRITICAL,9.8
CVE-2023-21715,148,MEDIUM,5.0
CVE-2023-20078,144,CRITICAL,9.8
CVE-2019-5736,134,HIGH,8.6
CVE-2022-25664,131,MEDIUM,5.5
CVE-2023-25690,131,CRITICAL,9.8
CVE-2023-24532,127,MEDIUM,5.3
CVE-2023-20032,125,CRITICAL,9.8
CVE-2022-44268,120,MEDIUM,6.5
CVE-2023-26360,118,CRITICAL,9.8
CVE-2021-3490,117,HIGH,7.8
CVE-2022-36537,112,HIGH,7.5
CVE-2023-0210,109,HIGH,7.5
CVE-2022-41099,102,MEDIUM,4.6
CVE-2023-20951,101,CRITICAL,9.8
CVE-2022-27255,96,CRITICAL,9.8
CVE-2023-24749,96,,
CVE-2023-28343,96,CRITICAL,9.8
CVE-2023-24055,95,MEDIUM,5.5
CVE-2023-24880,95,MEDIUM,4.4
CVE-2023-22809,94,HIGH,7.8
CVE-2021-27365,89,HIGH,7.8
CVE-2023-21746,86,HIGH,7.8
CVE-2023-21800,86,HIGH,7.8
CVE-2022-31700,83,HIGH,7.2
CVE-2022-21894,83,MEDIUM,4.4
CVE-2023-27898,78,MEDIUM,5.4
CVE-2023-21608,76,HIGH,7.8
CVE-2021-4045,76,CRITICAL,9.8
CVE-2023-28760,76,,
CVE-2022-34689,75,HIGH,7.5
CVE-2023-24033,74,CRITICAL,9.8
CVE-2023-24998,74,HIGH,7.5
CVE-2022-21587,70,CRITICAL,9.8
CVE-2022-21882,69,HIGH,7.8
CVE-2022-42856,68,HIGH,8.8
CVE-2023-1390,66,HIGH,7.5
CVE-2023-2561,66,,
CVE-2023-1112,63,CRITICAL,9.8
CVE-2023-25194,63,HIGH,8.8
CVE-2022-28810,62,MEDIUM,6.8
CVE-2022-41218,62,MEDIUM,5.5
CVE-2021-3156,61,HIGH,7.8
CVE-2019-18935,60,CRITICAL,9.8
CVE-2022-42889,60,CRITICAL,9.8
CVE-2022-0847,59,HIGH,7.8
CVE-2023-20049,59,HIGH,7.5
CVE-2021-3560,56,HIGH,7.8
CVE-2023-22397,56,MEDIUM,6.1
CVE-2023-23376,55,HIGH,7.8
CVE-2023-28303,55,,
CVE-2021-43789,55,CRITICAL,9.8
CVE-2023-25157,54,CRITICAL,9.8
CVE-2022-34718,54,CRITICAL,9.8
CVE-2023-20860,53,HIGH,7.5
CVE-2022-37955,52,HIGH,7.8
CVE-2022-0342,51,CRITICAL,9.8
CVE-2023-22374,48,HIGH,8.5
CVE-2017-9140,47,,
CVE-2022-4510,47,HIGH,7.8
CVE-2023-21823,46,HIGH,7.8
CVE-2023-23514,46,HIGH,7.8
CVE-2023-27320,45,HIGH,7.2
CVE-2022-40684,43,CRITICAL,9.8
CVE-2022-22655,42,,
CVE-2022-33891,41,HIGH,8.8
CVE-2021-45335,41,HIGH,8.8
CVE-2023-22501,41,CRITICAL,9.1
CVE-2023-0744,40,CRITICAL,9.8
CVE-2023-24804,40,MEDIUM,4.4
CVE-2023-26489,40,CRITICAL,9.9
CVE-2022-20494,39,MEDIUM,5.5
CVE-2022-25845,39,CRITICAL,9.8
CVE-2023-28115,37,CRITICAL,9.8
