,CVE,num_of_author,baseSeverity,baseScore
0,CVE-2023-23397,3202,CRITICAL,9.8
1,CVE-2022-39952,1160,CRITICAL,9.8
2,CVE-2023-21716,883,CRITICAL,9.8
3,CVE-2023-21768,647,HIGH,7.8
4,CVE-2023-23752,612,MEDIUM,5.3
5,CVE-2023-23529,525,HIGH,8.8
6,CVE-2023-27532,490,HIGH,7.5
7,CVE-2021-21974,385,HIGH,8.8
8,CVE-2023-0669,337,HIGH,7.2
9,CVE-2023-25136,317,MEDIUM,6.5
10,CVE-2022-47966,285,CRITICAL,9.8
11,CVE-2023-0179,216,HIGH,7.8
12,CVE-2020-5741,195,HIGH,7.2
13,CVE-2022-41328,194,HIGH,7.1
14,CVE-2022-47986,191,CRITICAL,9.8
15,CVE-2023-21839,187,HIGH,7.5
16,CVE-2022-44666,184,HIGH,7.8
17,CVE-2023-20858,176,HIGH,7.2
18,CVE-2023-0286,176,HIGH,7.4
19,CVE-2023-21036,171,MEDIUM,5.5
20,CVE-2023-25725,165,CRITICAL,9.1
21,CVE-2023-1017,164,HIGH,7.8
22,CVE-2022-42475,155,CRITICAL,9.8
23,CVE-2023-28432,152,HIGH,7.5
24,CVE-2023-23415,149,CRITICAL,9.8
25,CVE-2023-21715,148,MEDIUM,5.0
26,CVE-2023-20078,144,CRITICAL,9.8
27,CVE-2019-5736,134,HIGH,8.6
28,CVE-2022-25664,131,MEDIUM,5.5
29,CVE-2023-25690,131,CRITICAL,9.8
30,CVE-2023-24532,127,MEDIUM,5.3
31,CVE-2023-20032,125,CRITICAL,9.8
32,CVE-2022-44268,120,MEDIUM,6.5
33,CVE-2023-26360,118,CRITICAL,9.8
34,CVE-2021-3490,117,HIGH,7.8
35,CVE-2022-36537,112,HIGH,7.5
36,CVE-2023-0210,109,HIGH,7.5
37,CVE-2022-41099,102,MEDIUM,4.6
38,CVE-2023-20951,101,CRITICAL,9.8
39,CVE-2022-27255,96,CRITICAL,9.8
40,CVE-2023-28343,96,CRITICAL,9.8
41,CVE-2023-24880,95,MEDIUM,4.4
42,CVE-2023-24055,95,MEDIUM,5.5
43,CVE-2023-22809,94,HIGH,7.8
44,CVE-2021-27365,89,HIGH,7.8
45,CVE-2023-21746,86,HIGH,7.8
46,CVE-2023-21800,86,HIGH,7.8
47,CVE-2022-31700,83,HIGH,7.2
48,CVE-2022-21894,83,MEDIUM,4.4
49,CVE-2023-27898,78,MEDIUM,5.4
50,CVE-2023-21608,76,HIGH,7.8
51,CVE-2021-4045,76,CRITICAL,9.8
52,CVE-2022-34689,75,HIGH,7.5
53,CVE-2023-24033,74,CRITICAL,9.8
54,CVE-2023-24998,74,HIGH,7.5
55,CVE-2022-21587,70,CRITICAL,9.8
56,CVE-2022-21882,69,HIGH,7.8
57,CVE-2022-42856,68,HIGH,8.8
58,CVE-2023-1390,66,HIGH,7.5
59,CVE-2023-25194,63,HIGH,8.8
60,CVE-2023-1112,63,CRITICAL,9.8
61,CVE-2022-28810,62,MEDIUM,6.8
62,CVE-2022-41218,62,MEDIUM,5.5
63,CVE-2021-3156,61,HIGH,7.8
64,CVE-2019-18935,60,CRITICAL,9.8
65,CVE-2022-42889,60,CRITICAL,9.8
66,CVE-2022-0847,59,HIGH,7.8
67,CVE-2023-20049,59,HIGH,7.5
68,CVE-2023-22397,56,MEDIUM,6.1
69,CVE-2021-3560,56,HIGH,7.8
70,CVE-2021-43789,55,CRITICAL,9.8
71,CVE-2023-23376,55,HIGH,7.8
72,CVE-2023-25157,54,CRITICAL,9.8
73,CVE-2022-34718,54,CRITICAL,9.8
74,CVE-2023-20860,53,HIGH,7.5
75,CVE-2022-37955,52,HIGH,7.8
76,CVE-2022-0342,51,CRITICAL,9.8
77,CVE-2023-22374,48,HIGH,8.5
78,CVE-2022-4510,47,HIGH,7.8
79,CVE-2017-9140,47,MEDIUM,6.1
80,CVE-2023-21823,46,HIGH,7.8
81,CVE-2023-23514,46,HIGH,7.8
82,CVE-2023-27320,45,HIGH,7.2
83,CVE-2022-40684,43,CRITICAL,9.8
84,CVE-2023-22501,41,CRITICAL,9.1
85,CVE-2021-45335,41,HIGH,8.8
86,CVE-2022-33891,41,HIGH,8.8
87,CVE-2023-0744,40,CRITICAL,9.8
88,CVE-2023-24804,40,MEDIUM,4.4
89,CVE-2023-26489,40,CRITICAL,9.9
90,CVE-2022-20494,39,MEDIUM,5.5
91,CVE-2022-25845,39,CRITICAL,9.8
92,CVE-2020-36620,37,HIGH,7.5
93,CVE-2022-41040,37,HIGH,8.8
94,CVE-2022-27677,37,HIGH,7.8
95,CVE-2023-28115,37,CRITICAL,9.8
96,CVE-2021-34979,36,HIGH,8.8
97,CVE-2023-23520,35,MEDIUM,5.9
98,CVE-2022-24716,35,HIGH,7.5
99,CVE-2023-0567,34,MEDIUM,6.2
100,CVE-2023-23946,34,HIGH,7.5
101,CVE-2023-23638,33,CRITICAL,9.8
102,CVE-2021-44228,33,CRITICAL,10.0
103,CVE-2023-23947,33,HIGH,8.5
104,CVE-2023-21529,33,HIGH,8.8
105,CVE-2023-23396,32,MEDIUM,5.5
106,CVE-2023-26358,32,HIGH,7.8
107,CVE-2023-23399,31,HIGH,7.8
108,CVE-2022-36413,31,CRITICAL,9.1
109,CVE-2023-20861,30,MEDIUM,6.5
110,CVE-2023-24813,30,CRITICAL,9.8
111,CVE-2023-20076,30,HIGH,8.8
112,CVE-2022-47412,29,MEDIUM,5.4
113,CVE-2023-26604,29,HIGH,7.8
114,CVE-2022-42845,29,HIGH,7.2
115,CVE-2023-28708,28,MEDIUM,4.3
116,CVE-2023-24483,28,HIGH,7.8
117,CVE-2023-0662,28,HIGH,7.5
118,CVE-2021-41773,28,HIGH,7.5
119,CVE-2022-35914,27,CRITICAL,9.8
120,CVE-2023-28425,27,MEDIUM,5.5
121,CVE-2016-10190,26,CRITICAL,9.8
122,CVE-2022-23631,26,CRITICAL,9.8
123,CVE-2022-37958,26,HIGH,8.1
124,CVE-2021-42756,26,CRITICAL,9.8
125,CVE-2022-47003,26,CRITICAL,9.8
126,CVE-2018-5093,26,HIGH,7.5
127,CVE-2022-47502,25,HIGH,7.8
128,CVE-2023-28445,25,CRITICAL,9.8
129,CVE-2021-39144,25,HIGH,8.5
130,CVE-2022-46689,25,HIGH,7.0
131,CVE-2022-26438,25,MEDIUM,6.7
132,CVE-2023-22920,25,CRITICAL,9.8
133,CVE-2023-24484,24,MEDIUM,5.5
134,CVE-2023-0585,24,MEDIUM,4.8
135,CVE-2023-1605,24,HIGH,7.5
136,CVE-2023-27522,24,HIGH,7.5
137,CVE-2022-45788,24,CRITICAL,9.8
138,CVE-2023-25575,24,MEDIUM,6.5
139,CVE-2022-24942,23,CRITICAL,9.8
140,CVE-2023-1389,23,HIGH,8.8
141,CVE-2022-24990,23,HIGH,7.5
142,CVE-2022-37337,23,HIGH,8.8
143,CVE-2023-23530,23,HIGH,8.6
144,CVE-2022-35737,23,HIGH,7.5
145,CVE-2023-22490,23,MEDIUM,5.5
146,CVE-2022-27672,23,MEDIUM,4.7
147,CVE-2021-40539,22,CRITICAL,9.8
148,CVE-2023-0656,22,HIGH,7.5
149,CVE-2021-46877,22,HIGH,7.5
150,CVE-2022-24122,22,HIGH,7.8
151,CVE-2015-2291,22,HIGH,7.8
152,CVE-2022-38452,22,HIGH,8.8
153,CVE-2023-1410,22,MEDIUM,4.8
154,CVE-2022-0337,22,MEDIUM,6.5
155,CVE-2022-39214,22,HIGH,7.5
156,CVE-2022-29056,21,MEDIUM,5.3
157,CVE-2022-25978,21,MEDIUM,6.1
158,CVE-2022-36429,21,HIGH,7.2
159,CVE-2023-27566,21,HIGH,7.8
160,CVE-2023-0748,21,MEDIUM,6.1
161,CVE-2023-27482,21,CRITICAL,10.0
162,CVE-2023-23916,21,HIGH,7.5
163,CVE-2023-23192,21,HIGH,7.2
164,CVE-2022-44267,20,MEDIUM,6.5
165,CVE-2023-26072,20,CRITICAL,9.8
166,CVE-2023-27588,20,HIGH,7.5
167,CVE-2023-1454,20,CRITICAL,9.8
168,CVE-2022-38108,20,HIGH,7.2
169,CVE-2023-26035,20,CRITICAL,9.8
170,CVE-2023-23392,20,CRITICAL,9.8
171,CVE-2022-4304,20,MEDIUM,5.9
172,CVE-2023-21838,20,HIGH,7.5
173,CVE-2008-10004,19,CRITICAL,9.8
174,CVE-2023-20052,19,MEDIUM,5.3
175,CVE-2016-15029,19,MEDIUM,6.1
176,CVE-2012-10009,19,CRITICAL,9.8
177,CVE-2017-0145,19,HIGH,8.1
178,CVE-2023-1118,19,HIGH,7.8
179,CVE-2023-0464,19,HIGH,7.5
180,CVE-2022-45124,19,HIGH,7.5
181,CVE-2022-2259,19,MEDIUM,4.3
182,CVE-2023-0941,19,HIGH,8.8
183,CVE-2023-26607,19,HIGH,7.1
184,CVE-2022-45635,19,HIGH,7.5
185,CVE-2023-1018,19,MEDIUM,5.5
186,CVE-2022-43663,19,CRITICAL,9.8
187,CVE-2021-36224,19,CRITICAL,9.8
188,CVE-2018-25048,19,HIGH,8.8
189,CVE-2015-10077,19,CRITICAL,9.8
190,CVE-2022-2258,19,MEDIUM,4.3
191,CVE-2023-23914,19,CRITICAL,9.1
192,CVE-2023-0918,18,CRITICAL,9.8
193,CVE-2022-4883,18,HIGH,8.8
194,CVE-2012-10007,18,MEDIUM,6.1
195,CVE-2013-10019,18,CRITICAL,9.8
196,CVE-2015-10082,18,CRITICAL,9.8
