,CVE,num_of_author,baseSeverity,baseScore,flag_CR,flag_H
0,CVE-2023-23397,3202,CRITICAL,9.8,1,1
1,CVE-2022-39952,1160,CRITICAL,9.8,1,1
2,CVE-2023-21716,883,CRITICAL,9.8,1,1
3,CVE-2023-21768,647,HIGH,7.8,0,1
4,CVE-2023-23752,612,MEDIUM,5.3,0,0
5,CVE-2023-23529,525,HIGH,8.8,0,1
6,CVE-2023-27532,490,HIGH,7.5,0,1
7,CVE-2021-21974,385,HIGH,8.8,0,1
8,CVE-2023-0669,337,HIGH,7.2,0,1
9,CVE-2023-25136,317,MEDIUM,6.5,0,0
10,CVE-2022-47966,285,CRITICAL,9.8,1,1
11,CVE-2023-0179,216,HIGH,7.8,0,1
12,CVE-2020-5741,195,HIGH,7.2,0,1
13,CVE-2022-41328,194,HIGH,7.1,0,1
14,CVE-2022-47986,191,CRITICAL,9.8,1,1
15,CVE-2023-21839,187,HIGH,7.5,0,1
16,CVE-2022-44666,184,HIGH,7.8,0,1
17,CVE-2023-20858,176,HIGH,7.2,0,1
18,CVE-2023-0286,176,HIGH,7.4,0,1
19,CVE-2023-21036,171,MEDIUM,5.5,0,0
20,CVE-2023-25725,165,CRITICAL,9.1,1,1
21,CVE-2023-1017,164,HIGH,7.8,0,1
22,CVE-2022-42475,155,CRITICAL,9.8,1,1
23,CVE-2023-28432,152,HIGH,7.5,0,1
24,CVE-2023-23415,149,CRITICAL,9.8,1,1
25,CVE-2023-21715,148,MEDIUM,5.0,0,0
26,CVE-2023-20078,144,CRITICAL,9.8,1,1
27,CVE-2019-5736,134,HIGH,8.6,0,1
28,CVE-2022-25664,131,MEDIUM,5.5,0,0
29,CVE-2023-25690,131,CRITICAL,9.8,1,1
30,CVE-2023-24532,127,MEDIUM,5.3,0,0
31,CVE-2023-20032,125,CRITICAL,9.8,1,1
32,CVE-2022-44268,120,MEDIUM,6.5,0,0
33,CVE-2023-26360,118,CRITICAL,9.8,1,1
34,CVE-2021-3490,117,HIGH,7.8,0,1
35,CVE-2022-36537,112,HIGH,7.5,0,1
36,CVE-2023-0210,109,HIGH,7.5,0,1
37,CVE-2022-41099,102,MEDIUM,4.6,0,0
38,CVE-2023-20951,101,CRITICAL,9.8,1,1
39,CVE-2022-27255,96,CRITICAL,9.8,1,1
40,CVE-2023-28343,96,CRITICAL,9.8,1,1
41,CVE-2023-24880,95,MEDIUM,4.4,0,0
42,CVE-2023-24055,95,MEDIUM,5.5,0,0
43,CVE-2023-22809,94,HIGH,7.8,0,1
44,CVE-2021-27365,89,HIGH,7.8,0,1
45,CVE-2023-21746,86,HIGH,7.8,0,1
46,CVE-2023-21800,86,HIGH,7.8,0,1
47,CVE-2022-31700,83,HIGH,7.2,0,1
48,CVE-2022-21894,83,MEDIUM,4.4,0,0
49,CVE-2023-27898,78,MEDIUM,5.4,0,0
50,CVE-2023-21608,76,HIGH,7.8,0,1
51,CVE-2021-4045,76,CRITICAL,9.8,1,1
52,CVE-2022-34689,75,HIGH,7.5,0,1
53,CVE-2023-24033,74,CRITICAL,9.8,1,1
54,CVE-2023-24998,74,HIGH,7.5,0,1
55,CVE-2022-21587,70,CRITICAL,9.8,1,1
56,CVE-2022-21882,69,HIGH,7.8,0,1
57,CVE-2022-42856,68,HIGH,8.8,0,1
58,CVE-2023-1390,66,HIGH,7.5,0,1
59,CVE-2023-25194,63,HIGH,8.8,0,1
60,CVE-2023-1112,63,CRITICAL,9.8,1,1
61,CVE-2022-28810,62,MEDIUM,6.8,0,0
62,CVE-2022-41218,62,MEDIUM,5.5,0,0
63,CVE-2021-3156,61,HIGH,7.8,0,1
64,CVE-2019-18935,60,CRITICAL,9.8,1,1
65,CVE-2022-42889,60,CRITICAL,9.8,1,1
66,CVE-2022-0847,59,HIGH,7.8,0,1
67,CVE-2023-20049,59,HIGH,7.5,0,1
68,CVE-2023-22397,56,MEDIUM,6.1,0,0
69,CVE-2021-3560,56,HIGH,7.8,0,1
70,CVE-2021-43789,55,CRITICAL,9.8,1,1
71,CVE-2023-23376,55,HIGH,7.8,0,1
72,CVE-2023-25157,54,CRITICAL,9.8,1,1
73,CVE-2022-34718,54,CRITICAL,9.8,1,1
74,CVE-2023-20860,53,HIGH,7.5,0,1
75,CVE-2022-37955,52,HIGH,7.8,0,1
76,CVE-2022-0342,51,CRITICAL,9.8,1,1
77,CVE-2023-22374,48,HIGH,8.5,0,1
78,CVE-2022-4510,47,HIGH,7.8,0,1
79,CVE-2017-9140,47,MEDIUM,6.1,0,0
80,CVE-2023-21823,46,HIGH,7.8,0,1
81,CVE-2023-23514,46,HIGH,7.8,0,1
82,CVE-2023-27320,45,HIGH,7.2,0,1
83,CVE-2022-40684,43,CRITICAL,9.8,1,1
84,CVE-2023-22501,41,CRITICAL,9.1,1,1
85,CVE-2021-45335,41,HIGH,8.8,0,1
86,CVE-2022-33891,41,HIGH,8.8,0,1
87,CVE-2023-0744,40,CRITICAL,9.8,1,1
88,CVE-2023-24804,40,MEDIUM,4.4,0,0
89,CVE-2023-26489,40,CRITICAL,9.9,1,1
90,CVE-2022-20494,39,MEDIUM,5.5,0,0
91,CVE-2022-25845,39,CRITICAL,9.8,1,1
92,CVE-2020-36620,37,HIGH,7.5,0,1
93,CVE-2022-41040,37,HIGH,8.8,0,1
94,CVE-2022-27677,37,HIGH,7.8,0,1
95,CVE-2023-28115,37,CRITICAL,9.8,1,1
96,CVE-2021-34979,36,HIGH,8.8,0,1
97,CVE-2023-23520,35,MEDIUM,5.9,0,0
98,CVE-2022-24716,35,HIGH,7.5,0,1
99,CVE-2023-0567,34,MEDIUM,6.2,0,0
100,CVE-2023-23946,34,HIGH,7.5,0,1
101,CVE-2023-23638,33,CRITICAL,9.8,1,1
102,CVE-2021-44228,33,CRITICAL,10.0,1,1
103,CVE-2023-23947,33,HIGH,8.5,0,1
104,CVE-2023-21529,33,HIGH,8.8,0,1
105,CVE-2023-23396,32,MEDIUM,5.5,0,0
106,CVE-2023-26358,32,HIGH,7.8,0,1
107,CVE-2023-23399,31,HIGH,7.8,0,1
108,CVE-2022-36413,31,CRITICAL,9.1,1,1
109,CVE-2023-20861,30,MEDIUM,6.5,0,0
110,CVE-2023-24813,30,CRITICAL,9.8,1,1
111,CVE-2023-20076,30,HIGH,8.8,0,1
112,CVE-2022-47412,29,MEDIUM,5.4,0,0
113,CVE-2023-26604,29,HIGH,7.8,0,1
114,CVE-2022-42845,29,HIGH,7.2,0,1
115,CVE-2023-28708,28,MEDIUM,4.3,0,0
116,CVE-2023-24483,28,HIGH,7.8,0,1
117,CVE-2023-0662,28,HIGH,7.5,0,1
118,CVE-2021-41773,28,HIGH,7.5,0,1
119,CVE-2022-35914,27,CRITICAL,9.8,1,1
120,CVE-2023-28425,27,MEDIUM,5.5,0,0
121,CVE-2016-10190,26,CRITICAL,9.8,1,1
122,CVE-2022-23631,26,CRITICAL,9.8,1,1
123,CVE-2022-37958,26,HIGH,8.1,0,1
124,CVE-2021-42756,26,CRITICAL,9.8,1,1
125,CVE-2022-47003,26,CRITICAL,9.8,1,1
126,CVE-2018-5093,26,HIGH,7.5,0,1
127,CVE-2022-47502,25,HIGH,7.8,0,1
128,CVE-2023-28445,25,CRITICAL,9.8,1,1
129,CVE-2021-39144,25,HIGH,8.5,0,1
130,CVE-2022-46689,25,HIGH,7.0,0,1
131,CVE-2022-26438,25,MEDIUM,6.7,0,0
132,CVE-2023-22920,25,CRITICAL,9.8,1,1
133,CVE-2023-24484,24,MEDIUM,5.5,0,0
134,CVE-2023-0585,24,MEDIUM,4.8,0,0
135,CVE-2023-1605,24,HIGH,7.5,0,1
136,CVE-2023-27522,24,HIGH,7.5,0,1
137,CVE-2022-45788,24,CRITICAL,9.8,1,1
138,CVE-2023-25575,24,MEDIUM,6.5,0,0
139,CVE-2022-24942,23,CRITICAL,9.8,1,1
140,CVE-2023-1389,23,HIGH,8.8,0,1
141,CVE-2022-24990,23,HIGH,7.5,0,1
142,CVE-2022-37337,23,HIGH,8.8,0,1
143,CVE-2023-23530,23,HIGH,8.6,0,1
144,CVE-2022-35737,23,HIGH,7.5,0,1
145,CVE-2023-22490,23,MEDIUM,5.5,0,0
146,CVE-2022-27672,23,MEDIUM,4.7,0,0
147,CVE-2021-40539,22,CRITICAL,9.8,1,1
148,CVE-2023-0656,22,HIGH,7.5,0,1
149,CVE-2021-46877,22,HIGH,7.5,0,1
150,CVE-2022-24122,22,HIGH,7.8,0,1
151,CVE-2015-2291,22,HIGH,7.8,0,1
152,CVE-2022-38452,22,HIGH,8.8,0,1
153,CVE-2023-1410,22,MEDIUM,4.8,0,0
154,CVE-2022-0337,22,MEDIUM,6.5,0,0
155,CVE-2022-39214,22,HIGH,7.5,0,1
156,CVE-2022-29056,21,MEDIUM,5.3,0,0
157,CVE-2022-25978,21,MEDIUM,6.1,0,0
158,CVE-2022-36429,21,HIGH,7.2,0,1
159,CVE-2023-27566,21,HIGH,7.8,0,1
160,CVE-2023-0748,21,MEDIUM,6.1,0,0
161,CVE-2023-27482,21,CRITICAL,10.0,1,1
162,CVE-2023-23916,21,HIGH,7.5,0,1
163,CVE-2023-23192,21,HIGH,7.2,0,1
164,CVE-2022-44267,20,MEDIUM,6.5,0,0
165,CVE-2023-26072,20,CRITICAL,9.8,1,1
166,CVE-2023-27588,20,HIGH,7.5,0,1
167,CVE-2023-1454,20,CRITICAL,9.8,1,1
168,CVE-2022-38108,20,HIGH,7.2,0,1
169,CVE-2023-26035,20,CRITICAL,9.8,1,1
170,CVE-2023-23392,20,CRITICAL,9.8,1,1
171,CVE-2022-4304,20,MEDIUM,5.9,0,0
172,CVE-2023-21838,20,HIGH,7.5,0,1
173,CVE-2008-10004,19,CRITICAL,9.8,1,1
174,CVE-2023-20052,19,MEDIUM,5.3,0,0
175,CVE-2016-15029,19,MEDIUM,6.1,0,0
176,CVE-2012-10009,19,CRITICAL,9.8,1,1
177,CVE-2017-0145,19,HIGH,8.1,0,1
178,CVE-2023-1118,19,HIGH,7.8,0,1
179,CVE-2023-0464,19,HIGH,7.5,0,1
180,CVE-2022-45124,19,HIGH,7.5,0,1
181,CVE-2022-2259,19,MEDIUM,4.3,0,0
182,CVE-2023-0941,19,HIGH,8.8,0,1
183,CVE-2023-26607,19,HIGH,7.1,0,1
184,CVE-2022-45635,19,HIGH,7.5,0,1
185,CVE-2023-1018,19,MEDIUM,5.5,0,0
186,CVE-2022-43663,19,CRITICAL,9.8,1,1
187,CVE-2021-36224,19,CRITICAL,9.8,1,1
188,CVE-2018-25048,19,HIGH,8.8,0,1
189,CVE-2015-10077,19,CRITICAL,9.8,1,1
190,CVE-2022-2258,19,MEDIUM,4.3,0,0
191,CVE-2023-23914,19,CRITICAL,9.1,1,1
192,CVE-2023-0918,18,CRITICAL,9.8,1,1
193,CVE-2022-4883,18,HIGH,8.8,0,1
194,CVE-2012-10007,18,MEDIUM,6.1,0,0
195,CVE-2013-10019,18,CRITICAL,9.8,1,1
196,CVE-2015-10082,18,CRITICAL,9.8,1,1
197,CVE-2023-25589,18,CRITICAL,9.8,1,1
198,CVE-2023-0386,18,HIGH,7.8,0,1
199,CVE-2023-25569,18,MEDIUM,5.7,0,0
200,CVE-2022-33213,18,HIGH,8.8,0,1
201,CVE-2023-0401,18,HIGH,7.5,0,1
202,CVE-2022-23791,18,MEDIUM,6.1,0,0
203,CVE-2013-10021,18,MEDIUM,6.1,0,0
204,CVE-2023-23286,18,MEDIUM,6.1,0,0
205,CVE-2022-47002,18,CRITICAL,9.8,1,1
206,CVE-2023-1283,18,CRITICAL,9.8,1,1
207,CVE-2023-27842,18,HIGH,8.8,0,1
208,CVE-2023-0957,18,CRITICAL,9.6,1,1
209,CVE-2023-26602,18,CRITICAL,9.8,1,1
210,CVE-2021-21548,18,HIGH,7.4,0,1
211,CVE-2022-23790,18,MEDIUM,6.1,0,0
212,CVE-2023-0696,18,HIGH,8.8,0,1
213,CVE-2015-10084,18,CRITICAL,9.8,1,1
214,CVE-2016-15024,18,MEDIUM,5.5,0,0
215,CVE-2022-45634,18,MEDIUM,4.3,0,0
216,CVE-2018-25082,18,CRITICAL,9.8,1,1
217,CVE-2016-15028,18,MEDIUM,5.9,0,0
218,CVE-2021-37491,17,HIGH,7.5,0,1
219,CVE-2022-33242,17,HIGH,7.8,0,1
220,CVE-2023-1067,17,MEDIUM,5.4,0,0
221,CVE-2022-38063,17,HIGH,8.8,0,1
222,CVE-2023-0494,17,HIGH,7.8,0,1
223,CVE-2022-21948,17,MEDIUM,6.1,0,0
224,CVE-2023-1545,17,HIGH,7.5,0,1
225,CVE-2022-37940,17,MEDIUM,6.1,0,0
226,CVE-2023-21707,17,HIGH,8.8,0,1
227,CVE-2023-25727,17,MEDIUM,5.4,0,0
228,CVE-2023-0258,17,MEDIUM,6.1,0,0
229,CVE-2012-10008,17,CRITICAL,9.8,1,1
230,CVE-2023-23912,17,HIGH,8.8,0,1
231,CVE-2023-0914,17,MEDIUM,5.3,0,0
232,CVE-2022-43512,17,MEDIUM,5.5,0,0
233,CVE-2023-1175,17,MEDIUM,6.6,0,0
234,CVE-2023-23531,17,HIGH,8.6,0,1
235,CVE-2022-45637,17,CRITICAL,9.8,1,1
236,CVE-2022-25937,17,MEDIUM,6.5,0,0
237,CVE-2020-29168,17,CRITICAL,9.8,1,1
238,CVE-2021-4195,17,MEDIUM,6.1,0,0
239,CVE-2015-10081,17,HIGH,8.8,0,1
240,CVE-2015-10086,17,CRITICAL,9.8,1,1
241,CVE-2022-32475,17,HIGH,7.0,0,1
242,CVE-2022-32477,17,HIGH,7.0,0,1
243,CVE-2023-0001,17,MEDIUM,6.7,0,0
244,CVE-2022-45701,17,HIGH,8.8,0,1
245,CVE-2018-7935,17,MEDIUM,5.3,0,0
246,CVE-2022-27891,17,MEDIUM,5.3,0,0
247,CVE-2022-45468,17,MEDIUM,5.5,0,0
248,CVE-2023-22747,17,CRITICAL,9.8,1,1
249,CVE-2021-32441,17,HIGH,7.5,0,1
250,CVE-2015-10076,17,CRITICAL,9.8,1,1
251,CVE-2021-35394,17,CRITICAL,9.8,1,1
252,CVE-2023-1407,17,HIGH,7.2,0,1
253,CVE-2022-27890,17,HIGH,7.4,0,1
254,CVE-2022-41091,17,MEDIUM,5.4,0,0
255,CVE-2021-36225,16,HIGH,8.8,0,1
256,CVE-2021-31578,16,CRITICAL,9.8,1,1
257,CVE-2023-1350,16,CRITICAL,9.8,1,1
258,CVE-2022-22564,16,MEDIUM,5.9,0,0
259,CVE-2023-0919,16,LOW,3.5,0,0
260,CVE-2022-45988,16,HIGH,7.8,0,1
261,CVE-2023-1153,16,CRITICAL,9.8,1,1
262,CVE-2021-36942,16,MEDIUM,5.3,0,0
263,CVE-2022-32953,16,HIGH,7.0,0,1
264,CVE-2023-1180,16,MEDIUM,6.1,0,0
265,CVE-2023-1528,16,HIGH,8.8,0,1
266,CVE-2023-0917,16,CRITICAL,9.8,1,1
267,CVE-2017-20179,16,CRITICAL,9.8,1,1
268,CVE-2023-1496,16,MEDIUM,5.4,0,0
269,CVE-2022-26080,16,MEDIUM,4.3,0,0
270,CVE-2023-0391,16,HIGH,8.1,0,1
271,CVE-2021-44196,16,MEDIUM,6.1,0,0
272,CVE-2022-45121,16,MEDIUM,5.5,0,0
273,CVE-2021-42761,16,CRITICAL,9.8,1,1
274,CVE-2022-2094,16,MEDIUM,6.1,0,0
275,CVE-2023-0814,16,MEDIUM,6.5,0,0
276,CVE-2023-1315,16,MEDIUM,5.4,0,0
277,CVE-2023-27530,16,HIGH,7.5,0,1
278,CVE-2022-27892,16,HIGH,7.5,0,1
279,CVE-2023-0783,16,CRITICAL,9.8,1,1
280,CVE-2015-10080,16,MEDIUM,6.1,0,0
281,CVE-2022-35405,16,CRITICAL,9.8,1,1
282,CVE-2021-45423,16,CRITICAL,9.8,1,1
283,CVE-2023-23918,16,HIGH,7.5,0,1
284,CVE-2020-27507,16,CRITICAL,9.8,1,1
285,CVE-2022-4203,16,MEDIUM,4.9,0,0
286,CVE-2023-27980,16,HIGH,8.8,0,1
287,CVE-2022-29557,16,HIGH,8.8,0,1
288,CVE-2021-40555,16,MEDIUM,5.4,0,0
289,CVE-2015-10097,16,CRITICAL,9.8,1,1
290,CVE-2023-1181,16,MEDIUM,5.4,0,0
291,CVE-2022-33679,16,HIGH,8.1,0,1
292,CVE-2023-23924,16,CRITICAL,9.8,1,1
293,CVE-2015-10083,16,CRITICAL,9.8,1,1
294,CVE-2023-25155,16,MEDIUM,6.5,0,0
295,CVE-2022-31474,16,HIGH,7.5,0,1
296,CVE-2017-20181,16,MEDIUM,5.5,0,0
297,CVE-2023-27986,16,HIGH,7.8,0,1
298,CVE-2015-10087,16,HIGH,8.8,0,1
299,CVE-2023-27984,16,HIGH,8.8,0,1
300,CVE-2020-36661,16,HIGH,7.5,0,1
301,CVE-2023-1357,15,CRITICAL,9.8,1,1
302,CVE-2021-33226,15,CRITICAL,9.8,1,1
303,CVE-2023-1365,15,HIGH,7.5,0,1
304,CVE-2023-1360,15,MEDIUM,4.9,0,0
305,CVE-2021-33304,15,CRITICAL,9.8,1,1
306,CVE-2021-31575,15,CRITICAL,9.8,1,1
307,CVE-2021-31574,15,CRITICAL,9.8,1,1
308,CVE-2022-28494,15,CRITICAL,9.8,1,1
309,CVE-2022-27897,15,HIGH,7.5,0,1
310,CVE-2015-10075,15,MEDIUM,6.1,0,0
311,CVE-2021-43074,15,MEDIUM,4.3,0,0
312,CVE-2023-1317,15,MEDIUM,5.4,0,0
313,CVE-2021-31577,15,CRITICAL,9.8,1,1
314,CVE-2021-36226,15,CRITICAL,9.8,1,1
315,CVE-2021-33925,15,CRITICAL,9.8,1,1
316,CVE-2015-10092,15,MEDIUM,6.1,0,0
317,CVE-2021-34117,15,HIGH,7.5,0,1
318,CVE-2011-10002,15,CRITICAL,9.8,1,1
319,CVE-2020-3992,15,CRITICAL,9.8,1,1
320,CVE-2023-26039,15,HIGH,8.8,0,1
321,CVE-2022-46169,15,CRITICAL,9.8,1,1
322,CVE-2023-27985,15,HIGH,7.8,0,1
323,CVE-2011-10003,15,CRITICAL,9.8,1,1
324,CVE-2015-10089,15,MEDIUM,6.1,0,0
325,CVE-2023-1463,15,MEDIUM,5.4,0,0
326,CVE-2015-10093,15,MEDIUM,5.4,0,0
327,CVE-2022-45552,15,HIGH,7.5,0,1
328,CVE-2023-24816,15,HIGH,7.0,0,1
329,CVE-2015-10096,15,CRITICAL,9.8,1,1
330,CVE-2023-1288,15,HIGH,7.5,0,1
331,CVE-2023-24295,15,HIGH,7.8,0,1
332,CVE-2023-26281,15,HIGH,7.5,0,1
333,CVE-2023-0483,15,LOW,3.8,0,0
334,CVE-2020-36665,15,MEDIUM,6.1,0,0
335,CVE-2023-0215,15,HIGH,7.5,0,1
336,CVE-2013-10020,15,MEDIUM,6.1,0,0
337,CVE-2023-23400,15,HIGH,7.2,0,1
338,CVE-2020-5002,15,HIGH,8.8,0,1
339,CVE-2023-0747,15,MEDIUM,5.4,0,0
340,CVE-2015-10085,15,HIGH,7.5,0,1
341,CVE-2021-36821,15,MEDIUM,6.1,0,0
