,CVE_checked,reason
0,CVE-2023-25610,RESERVED
1,CVE-2023-24749,RESERVED
2,CVE-2023-28760,RESERVED
3,CVE-2023-2561,CVE_ID_NOT_FOUND
4,CVE-2023-28303,RESERVED
5,CVE-2017-9140,6.1 MEDIUM
6,CVE-2022-22655,RESERVED
7,CVE-2022-23529,NVD score not yet provided.
8,CVE-2023-0045,RESERVED
9,CVE-2023-24486,RESERVED
10,CVE-2016-10190,9.8 CRITICAL
11,CVE-2014-12509,CVE_ID_NOT_FOUND
12,CVE-2018-5093,7.5 HIGH
13,CVE-2023-0291,RESERVED
14,CVE-2014-12508,CVE_ID_NOT_FOUND
15,CVE-2015-2291,7.8 HIGH
16,CVE-2023-26463,RESERVED
17,CVE-2017-0145,8.1 HIGH
18,CVE-2023-2575,CVE_ID_NOT_FOUND
19,CVE-2021-33237,NVD score not yet provided.
20,CVE-2022-43634,NVD score not yet provided.
21,CVE-2023-27326,RESERVED
22,CVE-2023-27537,NVD score not yet provided.
23,CVE-2022-38217,RESERVED
24,CVE-2014-8361,NVD score not yet provided.
25,CVE-2023-1247,NVD score not yet provided.
26,CVE-2021-3099,NVD score not yet provided.
27,CVE-2021-3091,NVD score not yet provided.
28,CVE-2023-28426,NVD score not yet provided.
29,CVE-2017-8291,7.8 HIGH
30,CVE-2022-37950,NVD score not yet provided.
31,CVE-2022-37949,NVD score not yet provided.
32,CVE-2022-37948,NVD score not yet provided.
33,CVE-2021-29410,RESERVED
34,CVE-2022-37951,NVD score not yet provided.
35,CVE-2018-3623,NVD score not yet provided.
36,CVE-2021-23185,NVD score not yet provided.
37,CVE-2021-23199,NVD score not yet provided.
38,CVE-2018-17144,7.5 HIGH
39,CVE-2018-12136,NVD score not yet provided.
40,CVE-2018-12134,NVD score not yet provided.
41,CVE-2018-12135,NVD score not yet provided.
42,CVE-2021-42792,NVD score not yet provided.
43,CVE-2023-1103,NVD score not yet provided.
44,CVE-2018-3622,NVD score not yet provided.
45,CVE-2021-41064,NVD score not yet provided.
46,CVE-2017-0983,NVD score not yet provided.
47,CVE-2017-0984,NVD score not yet provided.
48,CVE-2017-0985,NVD score not yet provided.
49,CVE-2017-0986,NVD score not yet provided.
50,CVE-2017-0987,NVD score not yet provided.
51,CVE-2017-0988,NVD score not yet provided.
52,CVE-2017-0989,NVD score not yet provided.
53,CVE-2023-39952,CVE_ID_NOT_FOUND
