CVE,num_of_author,baseSeverity,baseScore
CVE-2023-25610,278,,
CVE-2023-24749,96,,
CVE-2023-28760,76,,
CVE-2023-2561,66,,
CVE-2023-28303,55,,
CVE-2017-9140,47,,
CVE-2022-22655,42,,
CVE-2022-23529,29,,
CVE-2023-0045,29,,
CVE-2023-24486,28,,
CVE-2016-10190,26,,
CVE-2014-12509,26,,
CVE-2018-5093,26,,
CVE-2023-0291,25,,
CVE-2014-12508,22,,
CVE-2015-2291,22,,
CVE-2023-26463,20,,
CVE-2017-0145,19,,
CVE-2023-2575,19,,
CVE-2021-33237,15,,
CVE-2022-43634,14,,
CVE-2023-27326,14,,
CVE-2023-27537,13,,
CVE-2022-38217,13,,
CVE-2014-8361,13,,
CVE-2023-1247,13,,
CVE-2021-3099,12,,
CVE-2021-3091,12,,
CVE-2023-28426,12,,
CVE-2017-8291,11,,
CVE-2022-37950,11,,
CVE-2022-37949,11,,
CVE-2022-37948,11,,
CVE-2021-29410,11,,
CVE-2022-37951,11,,
CVE-2018-3623,11,,
CVE-2021-23185,11,,
CVE-2021-23199,11,,
CVE-2018-17144,10,,
CVE-2018-12136,10,,
CVE-2018-12134,10,,
CVE-2018-12135,10,,
CVE-2021-42792,10,,
CVE-2023-1103,10,,
CVE-2018-3622,10,,
CVE-2021-41064,10,,
CVE-2017-0983,10,,
CVE-2017-0984,10,,
CVE-2017-0985,10,,
CVE-2017-0986,10,,
CVE-2017-0987,10,,
CVE-2017-0988,10,,
CVE-2017-0989,10,,
CVE-2023-39952,10,,
