,target,params
164,0.7764550731638855,"{'C': -0.0751932098880781, 'gamma': -1.6940341422774896}"
153,0.7764550731638855,"{'C': -0.12006908978841313, 'gamma': -1.5846775771923163}"
83,0.7764550731638855,"{'C': -0.05870032581434291, 'gamma': -1.6673821562660307}"
156,0.7764550731638855,"{'C': -0.10858208607714515, 'gamma': -1.6116721070785327}"
157,0.7764550731638855,"{'C': -0.09770602118869931, 'gamma': -1.7516669461617158}"
159,0.7764550731638855,"{'C': -0.10280782432635993, 'gamma': -1.7261476359027887}"
160,0.7764550731638855,"{'C': -0.12650625329423582, 'gamma': -1.5723048939375168}"
161,0.7764550731638855,"{'C': -0.08448504386091615, 'gamma': -1.7019541356223589}"
162,0.7764550731638855,"{'C': -0.08517367292762579, 'gamma': -1.7478866875859502}"
163,0.7764550731638855,"{'C': -0.08489290083624157, 'gamma': -1.7711231759918302}"
152,0.7764550731638855,"{'C': -0.07981228027477716, 'gamma': -1.592506836740717}"
165,0.7764550731638855,"{'C': -0.10494053720719432, 'gamma': -1.603485536287212}"
149,0.7764550731638855,"{'C': -0.10263166770184595, 'gamma': -1.5718002423003288}"
154,0.7764550731638855,"{'C': -0.09951953809221711, 'gamma': -1.7493853169684883}"
118,0.7764550731638855,"{'C': -0.10325855918317561, 'gamma': -1.6960219341651088}"
114,0.7764550731638855,"{'C': -0.07167665240773735, 'gamma': -1.7736783888494487}"
147,0.7764550731638855,"{'C': -0.06433204182012722, 'gamma': -1.7248592134837766}"
107,0.7762749428125942,"{'C': -0.19023082311870798, 'gamma': -1.6672958066057086}"
101,0.7762749428125942,"{'C': -0.172014679478107, 'gamma': -1.797135076497882}"
124,0.7750937579904156,"{'C': -0.05203738171303263, 'gamma': -1.9206234932962496}"
141,0.7748363721180217,"{'C': -0.4486559658344387, 'gamma': 2.6706553156792534}"
148,0.7748363721180217,"{'C': -0.6048147641020583, 'gamma': 0.356696697630837}"
53,0.7748363721180217,"{'C': -0.4349322922388872, 'gamma': 2.99464429444183}"
55,0.7748363721180217,"{'C': -0.49088158151058314, 'gamma': -0.03221116739834784}"
121,0.7748363721180217,"{'C': -0.4480118370776971, 'gamma': 1.0541696750817513}"
40,0.7748363721180217,"{'C': -0.5227554903492257, 'gamma': -2.7076104097784848}"
87,0.7748363721180217,"{'C': -0.5323448785646869, 'gamma': -0.4980286680355621}"
28,0.7748363721180217,"{'C': -0.4581086150161139, 'gamma': -1.671422127007848}"
173,0.7748363721180217,"{'C': -0.5816813227803301, 'gamma': -1.149912340217739}"
158,0.7747117874629863,"{'C': -0.4157936008729055, 'gamma': 2.2648856794568557}"
84,0.7746455563487344,"{'C': -0.2659500297625691, 'gamma': -1.352553414218977}"
37,0.7746455563487344,"{'C': -0.28915918986084815, 'gamma': -0.8519790911850846}"
47,0.7746455563487344,"{'C': -0.28064203523664627, 'gamma': 0.657980758749746}"
108,0.7746455563487344,"{'C': -0.28181508642010167, 'gamma': 1.914201198306822}"
142,0.7746455563487344,"{'C': -0.33717339858285833, 'gamma': 1.5309563641336696}"
166,0.7744162595928853,"{'C': -0.09730840069241715, 'gamma': -1.5104152659207044}"
98,0.7744162595928853,"{'C': 0.13446587818933678, 'gamma': -1.6888855099247857}"
219,0.7741614010335145,"{'C': -0.4701378631372295, 'gamma': -3.4370221554591165}"
95,0.7740857670645489,"{'C': -0.856042511359386, 'gamma': -3.5081979497159357}"
