,target,params
0,0.7887698566639811,"{'C': -2.659363847347754, 'gamma': 0.35476139727882305}"
151,0.7887698566639811,"{'C': -0.5146538850981163, 'gamma': -0.9734342871906939}"
140,0.7887698566639811,"{'C': -1.0854419195178233, 'gamma': -0.03406727769059252}"
141,0.7887698566639811,"{'C': -3.6573879636089126, 'gamma': -0.02755148699146215}"
142,0.7887698566639811,"{'C': -0.6331857510429444, 'gamma': -2.2450688009481574}"
143,0.7887698566639811,"{'C': -3.1172979578236024, 'gamma': -2.2439709986857586}"
144,0.7887698566639811,"{'C': -1.1154323831708588, 'gamma': -2.464848985164211}"
145,0.7887698566639811,"{'C': -0.908158192370494, 'gamma': 2.6940689884898035}"
146,0.7887698566639811,"{'C': -1.3839560174347851, 'gamma': 1.1331706930784202}"
147,0.7887698566639811,"{'C': -3.1694077938097434, 'gamma': -0.9877614800183796}"
148,0.7887698566639811,"{'C': -1.3188257094921978, 'gamma': 2.988740219696437}"
149,0.7887698566639811,"{'C': -2.4611595829264807, 'gamma': 0.652272970500316}"
150,0.7887698566639811,"{'C': -2.569296053288352, 'gamma': 2.1120862813533297}"
152,0.7887698566639811,"{'C': -1.9878655488839043, 'gamma': 3.0}"
138,0.7887698566639811,"{'C': -1.4141243397206151, 'gamma': -4.0}"
153,0.7887698566639811,"{'C': -3.801760292973692, 'gamma': -1.727653404346598}"
154,0.7887698566639811,"{'C': -1.69548632786019, 'gamma': -2.639407706256864}"
155,0.7887698566639811,"{'C': -1.0630349030733806, 'gamma': 1.2727258200972917}"
156,0.7887698566639811,"{'C': -2.0270345954849835, 'gamma': -1.2451998888856726}"
157,0.7887698566639811,"{'C': -0.8818994864958909, 'gamma': 1.8875474470508218}"
158,0.7887698566639811,"{'C': -0.5162529059411325, 'gamma': -3.6363904552194812}"
159,0.7887698566639811,"{'C': -3.776422737518893, 'gamma': -1.1787713997739204}"
160,0.7887698566639811,"{'C': -3.995685937347954, 'gamma': 0.4039466281774491}"
161,0.7887698566639811,"{'C': -2.8255883996439364, 'gamma': 1.3344491699355325}"
162,0.7887698566639811,"{'C': -3.763052762419637, 'gamma': 1.5175074264896047}"
163,0.7887698566639811,"{'C': -3.4250829737131223, 'gamma': 2.702280460447306}"
139,0.7887698566639811,"{'C': -0.7482081743912605, 'gamma': -0.554592716354736}"
137,0.7887698566639811,"{'C': -1.2381855316529489, 'gamma': 0.6001713716548469}"
1,0.7887698566639811,"{'C': -0.9359058269501985, 'gamma': 1.4975100859963844}"
123,0.7887698566639811,"{'C': -1.8936039621244944, 'gamma': -2.3642828440927683}"
112,0.7887698566639811,"{'C': -0.43896804816353907, 'gamma': -2.3084626352861353}"
113,0.7887698566639811,"{'C': -3.9869180863817784, 'gamma': -2.4013404983650743}"
114,0.7887698566639811,"{'C': -3.8105962822241812, 'gamma': 2.657209101200751}"
115,0.7887698566639811,"{'C': -1.7836564098310617, 'gamma': -0.8837227692771958}"
116,0.7887698566639811,"{'C': -0.512417910308362, 'gamma': -0.6705492194904705}"
117,0.7887698566639811,"{'C': -0.6338334757144211, 'gamma': 3.0}"
118,0.7887698566639811,"{'C': -2.7438168906020883, 'gamma': 2.9819544229103867}"
119,0.7887698566639811,"{'C': -3.812537314877342, 'gamma': 0.4634864197768165}"
120,0.7887698566639811,"{'C': -0.6409549767256753, 'gamma': -3.9977629648325346}"
121,0.7887698566639811,"{'C': -2.249604852408961, 'gamma': 0.05759098384459893}"
122,0.7887698566639811,"{'C': -2.672660985230323, 'gamma': -1.6228309304257467}"
