,target,params
0,0.7710791540369247,"{'C': -2.659363847347754, 'gamma': 0.35476139727882305}"
151,0.7710791540369247,"{'C': -2.7517279062185014, 'gamma': 2.248794215196493}"
140,0.7710791540369247,"{'C': -3.992610412097448, 'gamma': -0.38698786386738027}"
141,0.7710791540369247,"{'C': -2.176847347187163, 'gamma': -2.605628550873987}"
142,0.7710791540369247,"{'C': -2.8451201922279594, 'gamma': 1.486414967537037}"
143,0.7710791540369247,"{'C': -1.8380270168908996, 'gamma': -3.992733313734945}"
144,0.7710791540369247,"{'C': -3.255021937943499, 'gamma': -2.9969734718859042}"
145,0.7710791540369247,"{'C': -1.6681259575795577, 'gamma': -0.8607763536290021}"
146,0.7710791540369247,"{'C': -0.8162560280438096, 'gamma': 1.989249504474044}"
147,0.7710791540369247,"{'C': -2.5239194037838137, 'gamma': 0.6665430514911517}"
148,0.7710791540369247,"{'C': -1.9654872406307207, 'gamma': 3.0}"
149,0.7710791540369247,"{'C': -3.0966423593320926, 'gamma': 0.3369063070330789}"
150,0.7710791540369247,"{'C': -0.6993767804056867, 'gamma': -2.3654576176539828}"
152,0.7710791540369247,"{'C': -1.606828363137144, 'gamma': -2.297822718660372}"
138,0.7710791540369247,"{'C': -2.1219873145660006, 'gamma': -3.6728938288887605}"
153,0.7710791540369247,"{'C': -0.7653522330841098, 'gamma': -1.5099538621405377}"
154,0.7710791540369247,"{'C': -2.9311558197613787, 'gamma': -1.058231992948084}"
155,0.7710791540369247,"{'C': -2.994275445164904, 'gamma': -2.250248221036283}"
156,0.7710791540369247,"{'C': -3.3566289208880806, 'gamma': 2.734935400386}"
157,0.7710791540369247,"{'C': -2.1930363509327266, 'gamma': -1.128664670471704}"
158,0.7710791540369247,"{'C': -2.638519045564559, 'gamma': -3.1550617083811208}"
159,0.7710791540369247,"{'C': -3.699273353293204, 'gamma': -2.5031931202774067}"
160,0.7710791540369247,"{'C': -3.7376096861889363, 'gamma': 0.42593964104611537}"
161,0.7710791540369247,"{'C': -1.6418858602624262, 'gamma': 2.7062105583532854}"
162,0.7710791540369247,"{'C': -0.9539975459553922, 'gamma': 2.715343584666382}"
163,0.7710791540369247,"{'C': -1.2834871828782428, 'gamma': 2.9622149438237813}"
139,0.7710791540369247,"{'C': -4.0, 'gamma': -3.0191345554325038}"
137,0.7710791540369247,"{'C': -0.7579395915789768, 'gamma': -3.8033368879948775}"
1,0.7710791540369247,"{'C': -0.9359058269501985, 'gamma': 1.4975100859963844}"
123,0.7710791540369247,"{'C': -1.8386295406425388, 'gamma': 1.2425092158529178}"
112,0.7710791540369247,"{'C': -2.8754211723373224, 'gamma': -0.5908795894809864}"
113,0.7710791540369247,"{'C': -3.713758753784025, 'gamma': 2.6831653144280523}"
114,0.7710791540369247,"{'C': -2.1822263891936156, 'gamma': -1.8404035019043996}"
115,0.7710791540369247,"{'C': -0.6391996860754824, 'gamma': 3.0}"
116,0.7710791540369247,"{'C': -1.109749598169921, 'gamma': 1.1403721125175998}"
117,0.7710791540369247,"{'C': -0.6174311569649835, 'gamma': -0.604155421280423}"
118,0.7710791540369247,"{'C': -4.0, 'gamma': -2.273130393819589}"
119,0.7710791540369247,"{'C': -2.2896711040979674, 'gamma': -3.2590123912981857}"
120,0.7710791540369247,"{'C': -3.0800577719179265, 'gamma': 2.056204662484488}"
121,0.7710791540369247,"{'C': -0.4880302039248746, 'gamma': -1.9382889156363108}"
122,0.7710791540369247,"{'C': -1.1733273931878867, 'gamma': 0.6179171967627415}"
124,0.7710791540369247,"{'C': -1.8008529644027162, 'gamma': 0.5883498225082926}"
136,0.7710791540369247,"{'C': -4.0, 'gamma': 1.2955505147668278}"
125,0.7710791540369247,"{'C': -2.720352582247237, 'gamma': 2.9930950966646748}"
126,0.7710791540369247,"{'C': -3.675267554030434, 'gamma': -1.0671722130085701}"
127,0.7710791540369247,"{'C': -1.5588247376046631, 'gamma': -3.1014906144055816}"
128,0.7710791540369247,"{'C': -1.6880166974643815, 'gamma': 1.8968426473193407}"
129,0.7710791540369247,"{'C': -1.9137513272839315, 'gamma': -0.41829873181898236}"
130,0.7710791540369247,"{'C': -3.813247658841849, 'gamma': 2.0828470874742315}"
131,0.7710791540369247,"{'C': -3.6683676161679095, 'gamma': -1.7734246634603998}"
132,0.7710791540369247,"{'C': -3.971853488137458, 'gamma': -3.697150864742049}"
133,0.7710791540369247,"{'C': -1.546576504266946, 'gamma': -1.552541249705345}"
134,0.7710791540369247,"{'C': -1.2256108049134609, 'gamma': -2.7121627824876606}"
135,0.7710791540369247,"{'C': -2.421966643422767, 'gamma': -0.002652517510760788}"
164,0.7710791540369247,"{'C': -0.8127035989289576, 'gamma': -0.4647775804026002}"
165,0.7710791540369247,"{'C': -3.1753173650753594, 'gamma': 1.66967749348799}"
166,0.7710791540369247,"{'C': -2.355918827495999, 'gamma': -0.6591423343815834}"
206,0.7710791540369247,"{'C': -1.8774864218712906, 'gamma': -1.751094658102403}"
195,0.7710791540369247,"{'C': -2.828939699245899, 'gamma': -0.2834035213205688}"
196,0.7710791540369247,"{'C': -3.264515314940153, 'gamma': -1.6428141219794452}"
197,0.7710791540369247,"{'C': -3.2660111343378575, 'gamma': -1.1972233179285272}"
198,0.7710791540369247,"{'C': -2.8251096451235207, 'gamma': -3.7854607207496875}"
199,0.7710791540369247,"{'C': -1.787424042325525, 'gamma': 0.28493770646253047}"
200,0.7710791540369247,"{'C': -1.8210730341214056, 'gamma': -1.1584955084463633}"
201,0.7710791540369247,"{'C': -3.7743762130755893, 'gamma': -3.142904786648069}"
202,0.7710791540369247,"{'C': -3.4563877497791613, 'gamma': 1.4664520964247791}"
203,0.7710791540369247,"{'C': -0.6203673928733013, 'gamma': 2.40376070230408}"
204,0.7710791540369247,"{'C': -0.9288277902921994, 'gamma': -2.4306494530485563}"
205,0.7710791540369247,"{'C': -1.7932178340168798, 'gamma': 0.9201505671104293}"
207,0.7710791540369247,"{'C': -3.626907136866257, 'gamma': -0.2218507692226992}"
167,0.7710791540369247,"{'C': -1.2836576278846188, 'gamma': -0.9118505846068592}"
208,0.7710791540369247,"{'C': -3.7578911221796423, 'gamma': -3.5398232472733633}"
209,0.7710791540369247,"{'C': -2.947096765510702, 'gamma': 1.0835296817072813}"
210,0.7710791540369247,"{'C': -3.9962976789704947, 'gamma': 2.0863276738300556}"
211,0.7710791540369247,"{'C': -0.9908573182653546, 'gamma': -1.938238400616478}"
212,0.7710791540369247,"{'C': -0.8493820178240368, 'gamma': -0.8828247335534973}"
213,0.7710791540369247,"{'C': -3.790022787336537, 'gamma': -2.0846658002750327}"
214,0.7710791540369247,"{'C': -2.45895878271023, 'gamma': -3.864315013858695}"
215,0.7710791540369247,"{'C': -1.5566489678287647, 'gamma': -3.754174781408543}"
216,0.7710791540369247,"{'C': -1.4846769015938754, 'gamma': 1.2656503807716346}"
217,0.7710791540369247,"{'C': -3.796871560680885, 'gamma': -1.4371315959959778}"
218,0.7710791540369247,"{'C': -2.689673775005463, 'gamma': -1.2839334762488002}"
194,0.7710791540369247,"{'C': -1.0357929925889309, 'gamma': -3.3432814102864006}"
193,0.7710791540369247,"{'C': -1.3644609474766125, 'gamma': 2.20814166369214}"
192,0.7710791540369247,"{'C': -2.3867307835027107, 'gamma': 1.840071912368038}"
191,0.7710791540369247,"{'C': -1.9011116303288982, 'gamma': -2.4650535707057752}"
168,0.7710791540369247,"{'C': -3.999817683203539, 'gamma': 2.706692527780615}"
169,0.7710791540369247,"{'C': -0.9874833844088986, 'gamma': 1.7547895707277847}"
170,0.7710791540369247,"{'C': -2.8905235532229647, 'gamma': -2.860599895860897}"
171,0.7710791540369247,"{'C': -3.4579993031036373, 'gamma': -3.6856014805152997}"
172,0.7710791540369247,"{'C': -1.6641262116356033, 'gamma': 1.490899638521947}"
173,0.7710791540369247,"{'C': -1.305347114785626, 'gamma': -1.9789658459437398}"
174,0.7710791540369247,"{'C': -2.5850168778548297, 'gamma': 2.7548126566215725}"
175,0.7710791540369247,"{'C': -0.325051261589586, 'gamma': -4.0}"
176,0.7710791540369247,"{'C': -2.414447141433576, 'gamma': -2.0478442182390584}"
177,0.7710791540369247,"{'C': -1.181863788162373, 'gamma': -3.856084800942946}"
178,0.7710791540369247,"{'C': -2.152164714681885, 'gamma': -0.14927085698071618}"
179,0.7710791540369247,"{'C': -2.2436506840772807, 'gamma': 1.2134075472608892}"
180,0.7710791540369247,"{'C': -1.9575808931562522, 'gamma': -3.321238553103162}"
181,0.7710791540369247,"{'C': -0.5018914592667763, 'gamma': -1.304183400480301}"
182,0.7710791540369247,"{'C': -3.2612173716219868, 'gamma': -0.013174746292096806}"
183,0.7710791540369247,"{'C': -3.7789448481795107, 'gamma': 1.580529174453667}"
184,0.7710791540369247,"{'C': -2.0185737804692963, 'gamma': 2.336312296739357}"
185,0.7710791540369247,"{'C': -2.8181215623043583, 'gamma': 0.6836541965153362}"
186,0.7710791540369247,"{'C': -1.1434108283027054, 'gamma': 0.17244229414273615}"
187,0.7710791540369247,"{'C': -3.372347192857129, 'gamma': -2.466710291144642}"
188,0.7710791540369247,"{'C': -0.5752744564611465, 'gamma': -2.160567201927524}"
189,0.7710791540369247,"{'C': -3.5758976792633392, 'gamma': -0.7494198740683604}"
190,0.7710791540369247,"{'C': -3.3813714657035945, 'gamma': 1.0979849044940746}"
111,0.7710791540369247,"{'C': -0.6144483696728061, 'gamma': -4.0}"
110,0.7710791540369247,"{'C': -3.5997670134690223, 'gamma': 0.8674542441872912}"
109,0.7710791540369247,"{'C': -2.4306586763977025, 'gamma': -1.4337258248954798}"
34,0.7710791540369247,"{'C': -2.5900801332594825, 'gamma': -0.9871583966484476}"
37,0.7710791540369247,"{'C': -1.1245395876469098, 'gamma': -1.636034787067941}"
38,0.7710791540369247,"{'C': -3.1810367231246244, 'gamma': -4.0}"
39,0.7710791540369247,"{'C': -0.40019221680215256, 'gamma': 3.0}"
40,0.7710791540369247,"{'C': -4.0, 'gamma': -0.9314514193103955}"
41,0.7710791540369247,"{'C': -4.0, 'gamma': 0.8611703307355716}"
42,0.7710791540369247,"{'C': -3.256325123559684, 'gamma': -0.3868245599035441}"
43,0.7710791540369247,"{'C': -3.5730030917346864, 'gamma': -3.3521732667165534}"
44,0.7710791540369247,"{'C': -3.407857800984357, 'gamma': 2.309784192240896}"
45,0.7710791540369247,"{'C': -4.0, 'gamma': -1.8476657255645519}"
46,0.7710791540369247,"{'C': -1.1568519150606946, 'gamma': -2.3281548615550833}"
47,0.7710791540369247,"{'C': -0.6352241820909086, 'gamma': -0.9978230476482031}"
48,0.7710791540369247,"{'C': -2.0057121101701676, 'gamma': -2.9841051008861244}"
49,0.7710791540369247,"{'C': -0.9498085125349497, 'gamma': 3.0}"
50,0.7710791540369247,"{'C': -0.921377827932763, 'gamma': -4.0}"
51,0.7710791540369247,"{'C': -2.7191773740030123, 'gamma': -1.8380528051442573}"
52,0.7710791540369247,"{'C': -2.1546942349167746, 'gamma': 0.8982058914974215}"
53,0.7710791540369247,"{'C': -3.4080205922088185, 'gamma': 0.4921290475718473}"
54,0.7710791540369247,"{'C': -0.524961522157783, 'gamma': -1.6291321556747866}"
108,0.7710791540369247,"{'C': -0.9991745925546587, 'gamma': -0.1870388400346772}"
56,0.7710791540369247,"{'C': -2.2083599764888726, 'gamma': -3.9989608482989367}"
58,0.7710791540369247,"{'C': -1.9581844312012295, 'gamma': -1.4105445748255114}"
35,0.7710791540369247,"{'C': -3.114379574387937, 'gamma': 3.0}"
33,0.7710791540369247,"{'C': -3.1620972446582942, 'gamma': 1.3394969936703645}"
60,0.7710791540369247,"{'C': -1.6954292772582849, 'gamma': 2.321924923184345}"
32,0.7710791540369247,"{'C': -3.094571545231638, 'gamma': -2.593701955678}"
3,0.7710791540369247,"{'C': -2.064750213998323, 'gamma': 1.6131052427451351}"
5,0.7710791540369247,"{'C': -1.4952791102949332, 'gamma': -0.49303412133578917}"
7,0.7710791540369247,"{'C': -1.4082447164672356, 'gamma': -0.07162669754062545}"
8,0.7710791540369247,"{'C': -0.47841784284533206, 'gamma': -3.9036208528652243}"
10,0.7710791540369247,"{'C': -1.4457981126903938, 'gamma': 0.30777324903445624}"
11,0.7710791540369247,"{'C': -3.472331308499164, 'gamma': -1.4182319579861784}"
13,0.7710791540369247,"{'C': -1.2195819559169205, 'gamma': 1.5211110005852184}"
14,0.7710791540369247,"{'C': -1.7821471448179014, 'gamma': -0.023309431617515752}"
18,0.7710791540369247,"{'C': -2.46845526028138, 'gamma': 2.4740734003089555}"
19,0.7710791540369247,"{'C': -0.9050147121707637, 'gamma': 2.365211712807308}"
20,0.7710791540369247,"{'C': -2.529095593809583, 'gamma': -3.596661603343897}"
21,0.7710791540369247,"{'C': -0.4489972785146612, 'gamma': -2.1808413800942845}"
22,0.7710791540369247,"{'C': -4.0, 'gamma': 1.7244795571566343}"
23,0.7710791540369247,"{'C': -4.0, 'gamma': -4.0}"
24,0.7710791540369247,"{'C': -4.0, 'gamma': 3.0}"
25,0.7710791540369247,"{'C': -4.0, 'gamma': -2.6572438264570977}"
26,0.7710791540369247,"{'C': -2.083878560373607, 'gamma': -2.228596918333911}"
27,0.7710791540369247,"{'C': -4.0, 'gamma': -0.026506103566613714}"
28,0.7710791540369247,"{'C': -1.5015464833485743, 'gamma': -4.0}"
30,0.7710791540369247,"{'C': -1.1703654441087394, 'gamma': -3.0650394387640976}"
31,0.7710791540369247,"{'C': -1.6119571580773804, 'gamma': 3.0}"
59,0.7710791540369247,"{'C': -3.9990234822662716, 'gamma': 2.3979154654881176}"
55,0.7710791540369247,"{'C': -2.3493358794572354, 'gamma': 3.0}"
61,0.7710791540369247,"{'C': -2.7251340341687467, 'gamma': 1.8550400609811746}"
96,0.7710791540369247,"{'C': -4.0, 'gamma': -1.3949320750482501}"
86,0.7710791540369247,"{'C': -3.574473670227563, 'gamma': -2.8340426597769426}"
87,0.7710791540369247,"{'C': -3.6475993888952374, 'gamma': -3.9310963166029267}"
62,0.7710791540369247,"{'C': -0.7139526705806035, 'gamma': -0.2315610540044023}"
89,0.7710791540369247,"{'C': -2.009637571676954, 'gamma': 2.696634975476867}"
90,0.7710791540369247,"{'C': -2.9683793526348072, 'gamma': -1.4186021009342884}"
91,0.7710791540369247,"{'C': -1.2826274770023454, 'gamma': 2.6062504554631727}"
92,0.7710791540369247,"{'C': -2.158130052519615, 'gamma': 0.32158875989878943}"
93,0.7710791540369247,"{'C': -3.5819064607121605, 'gamma': 0.04596120044889229}"
94,0.7710791540369247,"{'C': -1.236625579155667, 'gamma': -3.5836998072282706}"
95,0.7710791540369247,"{'C': -2.6973493244558067, 'gamma': -4.0}"
97,0.7710791540369247,"{'C': -3.0072692947058357, 'gamma': 2.589540080195497}"
84,0.7710791540369247,"{'C': -0.928520826433259, 'gamma': 0.20993633077473461}"
98,0.7710791540369247,"{'C': -4.0, 'gamma': 0.41730401341968554}"
99,0.7710791540369247,"{'C': -0.9341908962771566, 'gamma': -1.2429080879147372}"
100,0.7710791540369247,"{'C': -2.939090350912233, 'gamma': 0.011150805795860919}"
101,0.7710791540369247,"{'C': -0.6355758519616203, 'gamma': 2.7548325816171886}"
102,0.7710791540369247,"{'C': -3.1449958210432585, 'gamma': -1.93423044811437}"
103,0.7710791540369247,"{'C': -2.634009781199543, 'gamma': -2.3406415799590174}"
104,0.7710791540369247,"{'C': -0.8927322671331737, 'gamma': -2.6546594087006175}"
105,0.7710791540369247,"{'C': -2.459891244748499, 'gamma': 1.4547649740093567}"
106,0.7710791540369247,"{'C': -3.1108821601594103, 'gamma': -3.665010286863849}"
107,0.7710791540369247,"{'C': -3.107258474246934, 'gamma': 0.8142224619877512}"
85,0.7710791540369247,"{'C': -1.1110434505664109, 'gamma': 1.9745240436705673}"
88,0.7710791540369247,"{'C': -2.1817833114483927, 'gamma': 2.0837599229490005}"
83,0.7710791540369247,"{'C': -3.5106832670551475, 'gamma': 1.8101636371878884}"
73,0.7710791540369247,"{'C': -2.0137703777140485, 'gamma': -0.8049354179752288}"
63,0.7710791540369247,"{'C': -1.0062875788151682, 'gamma': 0.8097047095471366}"
64,0.7710791540369247,"{'C': -2.4557447225913367, 'gamma': -0.34114498510150476}"
65,0.7710791540369247,"{'C': -4.0, 'gamma': -3.394422329642188}"
66,0.7710791540369247,"{'C': -1.7647337650132044, 'gamma': -3.5424606413576685}"
67,0.7710791540369247,"{'C': -3.5262156460927443, 'gamma': -2.17905726872249}"
68,0.7710791540369247,"{'C': -1.00294857693709, 'gamma': -0.6879815646307431}"
69,0.7710791540369247,"{'C': -2.6513032765960736, 'gamma': 1.0628201059279654}"
70,0.7710791540369247,"{'C': -2.534566812718893, 'gamma': -2.787237916257246}"
71,0.7710791540369247,"{'C': -0.7692513617253045, 'gamma': -2.1360981551014233}"
72,0.7710791540369247,"{'C': -0.8282879978372004, 'gamma': -3.563888733333468}"
219,0.7710791540369247,"{'C': -0.9354171235092146, 'gamma': -2.9984204366959863}"
74,0.7710791540369247,"{'C': -1.462677631063991, 'gamma': 0.9388883023513586}"
78,0.7710791540369247,"{'C': -3.729294287614663, 'gamma': 1.2701299109943678}"
82,0.7710791540369247,"{'C': -3.755809397210929, 'gamma': -0.4811981088895029}"
