,mean,std,params
66,0.7896298662196427,0.005560551586679812,"{'C': 1, 'gamma': 0.0001}"
10,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 1000}"
2,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 0.01}"
15,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 0.1}"
14,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 0.03}"
13,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 0.01}"
12,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 0.001}"
11,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 0.0001}"
9,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 100}"
32,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 1000}"
8,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 10}"
7,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 3}"
33,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 0.0001}"
6,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 1}"
5,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 0.3}"
4,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 0.1}"
16,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 0.3}"
18,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 3}"
19,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 10}"
20,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 100}"
21,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 1000}"
22,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 0.0001}"
23,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 0.001}"
24,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 0.01}"
25,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 0.03}"
26,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 0.1}"
0,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 0.0001}"
28,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 1}"
29,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 3}"
30,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 10}"
31,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 100}"
17,0.7887698566639811,0.005904278170438041,"{'C': 0.001, 'gamma': 1}"
1,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 0.001}"
3,0.7887698566639811,0.005904278170438041,"{'C': 0.0001, 'gamma': 0.03}"
27,0.7887698566639811,0.005904278170438041,"{'C': 0.01, 'gamma': 0.3}"
60,0.7887698566639811,0.005904278170438041,"{'C': 0.3, 'gamma': 0.3}"
50,0.7887698566639811,0.005904278170438041,"{'C': 0.1, 'gamma': 1}"
34,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 0.001}"
37,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 0.1}"
38,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 0.3}"
39,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 1}"
40,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 3}"
41,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 10}"
42,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 100}"
43,0.7887698566639811,0.005904278170438041,"{'C': 0.03, 'gamma': 1000}"
44,0.7887698566639811,0.005904278170438041,"{'C': 0.1, 'gamma': 0.0001}"
