,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4109190940856934,0.3099107180829639,0.06879663467407227,0.04738589057940983,100,0.3,"{'gamma': 100, 'C': 0.3}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
31,2.347344970703125,1.8258860365242557,0.3319722652435303,0.4098682001621225,1,0.01,"{'gamma': 1, 'C': 0.01}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
33,1.608626365661621,1.3348514661496207,0.16447341442108154,0.17059793120587782,0.05,0.3,"{'gamma': 0.05, 'C': 0.3}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
83,0.3993936061859131,0.19051839793484918,0.05275397300720215,0.023135396113465236,0.03,0.03,"{'gamma': 0.03, 'C': 0.03}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
35,2.240416097640991,1.1768925293875283,0.14515335559844972,0.16553057617869077,0.1,0.05,"{'gamma': 0.1, 'C': 0.05}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
82,0.4488052845001221,0.30728450602021806,0.034440922737121585,0.009963421624381083,100,0.0005,"{'gamma': 100, 'C': 0.0005}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
80,0.4575455904006958,0.27352160581354507,0.03983175754547119,0.0214746002822261,0.0001,0.001,"{'gamma': 0.0001, 'C': 0.001}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
79,0.49003627300262453,0.3775000628914354,0.07294325828552246,0.05352005982539247,0.005,0.03,"{'gamma': 0.005, 'C': 0.03}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
40,1.3969632625579833,1.001279100411967,0.12108180522918702,0.05728902305864073,0.005,0.3,"{'gamma': 0.005, 'C': 0.3}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
78,0.7001713752746582,0.5073163814552432,0.08615677356719971,0.09160325740209888,1000,0.001,"{'gamma': 1000, 'C': 0.001}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
42,1.2717381954193114,0.7631761686695556,0.1057330846786499,0.10560530163207135,3,0.3,"{'gamma': 3, 'C': 0.3}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
43,1.2871602535247804,0.8077667299199901,0.08544068336486817,0.07685662678302967,0.0001,0.01,"{'gamma': 0.0001, 'C': 0.01}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
44,0.6573452711105346,0.5187688186518695,0.06316461563110351,0.02730820496591774,10,0.01,"{'gamma': 10, 'C': 0.01}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
46,0.7393008947372437,0.46543227494768014,0.049022769927978514,0.02202653741200664,50,0.3,"{'gamma': 50, 'C': 0.3}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
47,1.0572723388671874,0.6879340763154441,0.049878287315368655,0.0288858798687154,3,0.05,"{'gamma': 3, 'C': 0.05}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
74,0.8524296045303345,0.7204490654954412,0.04616899490356445,0.024235693177602685,0.01,0.1,"{'gamma': 0.01, 'C': 0.1}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
73,0.892458438873291,0.526777496506216,0.06269915103912353,0.03225796713297922,0.05,0.0005,"{'gamma': 0.05, 'C': 0.0005}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
70,0.5018579721450805,0.3100249028487108,0.11372339725494385,0.15624873845791667,1000,0.03,"{'gamma': 1000, 'C': 0.03}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
51,0.9098823070526123,1.0314773734137346,0.162969970703125,0.3096749597585978,0.03,0.0005,"{'gamma': 0.03, 'C': 0.0005}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
52,1.026350736618042,0.8265828509103502,0.12304561138153076,0.10503879457883053,0.001,0.01,"{'gamma': 0.001, 'C': 0.01}",0.7872340425531915,0.7872340425531915,0.782608695652174,0.782608695652174,0.782608695652174,0.782608695652174,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7956989247311829,0.7887698566639811,0.005904278170438041,1
