,mean,std,params
0,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0001, 'C': 0.001}"
38,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.01, 'C': 0.1}"
91,0.7710791540369247,0.0026745951692720158,"{'gamma': 100, 'C': 0.05}"
95,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.03, 'C': 0.01}"
96,0.7710791540369247,0.0026745951692720158,"{'gamma': 100, 'C': 0.01}"
97,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.0005}"
64,0.7710791540369247,0.0026745951692720158,"{'gamma': 10, 'C': 0.01}"
33,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0005, 'C': 0.0005}"
99,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.01}"
19,0.7710791540369247,0.0026745951692720158,"{'gamma': 1000, 'C': 0.03}"
12,0.7710791540369247,0.0026745951692720158,"{'gamma': 1000, 'C': 0.01}"
32,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.2, 'C': 0.05}"
7,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.2, 'C': 0.001}"
20,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.01}"
21,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.0001}"
22,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.01}"
23,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0001, 'C': 0.1}"
27,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.005}"
9,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.01}"
4,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.0005}"
31,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.1}"
1,0.7710791540369247,0.0026745951692720158,"{'gamma': 500, 'C': 0.001}"
28,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.2, 'C': 0.1}"
88,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.001, 'C': 0.03}"
86,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.3, 'C': 0.1}"
85,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.1, 'C': 0.001}"
80,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.1, 'C': 0.03}"
40,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.01, 'C': 0.0005}"
42,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.005}"
