,mean,std,params
50,0.7715914859189972,0.006827184955556027,"{'gamma': 0.0005, 'C': 500}"
62,0.7712399775745699,0.006876346824095102,"{'gamma': 0.001, 'C': 500}"
24,0.7712399775745699,0.006876346824095102,"{'gamma': 0.001, 'C': 100}"
99,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.001}"
95,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.05}"
12,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.01}"
93,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.005}"
10,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.03, 'C': 0.0005}"
94,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.1, 'C': 0.05}"
8,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.2, 'C': 0.0005}"
5,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.01, 'C': 0.1}"
96,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.001}"
14,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.03}"
4,0.7710791540369247,0.0026745951692720158,"{'gamma': 100, 'C': 0.05}"
3,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.1}"
2,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.5}"
92,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.3, 'C': 0.05}"
15,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.01, 'C': 0.03}"
31,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.0005}"
30,0.7710791540369247,0.0026745951692720158,"{'gamma': 500, 'C': 0.05}"
34,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.0001}"
28,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.01}"
26,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.005}"
16,0.7710791540369247,0.0026745951692720158,"{'gamma': 1000, 'C': 0.005}"
90,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.05}"
22,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.03}"
89,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0005, 'C': 0.03}"
20,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.5}"
91,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.0001}"
18,0.7710791540369247,0.0026745951692720158,"{'gamma': 100, 'C': 0.0001}"
21,0.7710791540369247,0.0026745951692720158,"{'gamma': 500, 'C': 0.0005}"
97,0.7710791540369247,0.0026745951692720158,"{'gamma': 500, 'C': 0.0001}"
17,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.3}"
84,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.1, 'C': 0.001}"
51,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.3, 'C': 0.005}"
86,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.05}"
82,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.5}"
37,0.7710791540369247,0.0026745951692720158,"{'gamma': 10, 'C': 0.0005}"
36,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.1}"
39,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.01}"
40,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.001}"
81,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.0005}"
42,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.1, 'C': 0.1}"
78,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.03, 'C': 0.5}"
46,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.0001}"
47,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.2, 'C': 0.005}"
77,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.01, 'C': 0.0001}"
98,0.7710791540369247,0.0026745951692720158,"{'gamma': 10, 'C': 0.001}"
76,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.001, 'C': 0.03}"
80,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0005, 'C': 0.001}"
75,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.0005}"
66,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.001}"
54,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.1}"
55,0.7710791540369247,0.0026745951692720158,"{'gamma': 3, 'C': 0.3}"
56,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.01}"
73,0.7710791540369247,0.0026745951692720158,"{'gamma': 1000, 'C': 0.0005}"
58,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.1}"
72,0.7710791540369247,0.0026745951692720158,"{'gamma': 100, 'C': 0.005}"
60,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.03}"
61,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.03}"
70,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.001, 'C': 0.005}"
69,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.01}"
65,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.1}"
74,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.3}"
41,0.7709088339718349,0.006094423000504662,"{'gamma': 0.01, 'C': 10}"
53,0.7709088339718349,0.006094423000504662,"{'gamma': 0.01, 'C': 50}"
59,0.7705939179811419,0.006409509734468546,"{'gamma': 0.001, 'C': 50}"
85,0.7702652912144179,0.00640050724652917,"{'gamma': 0.005, 'C': 100}"
35,0.7700914240166871,0.0058141988247896684,"{'gamma': 0.3, 'C': 3}"
44,0.7700914240166871,0.0058141988247896684,"{'gamma': 3, 'C': 1}"
45,0.7700914240166871,0.0058141988247896684,"{'gamma': 10, 'C': 1}"
49,0.7700914240166871,0.0058141988247896684,"{'gamma': 10, 'C': 1000}"
48,0.7700914240166871,0.0058141988247896684,"{'gamma': 0.01, 'C': 1}"
52,0.7700914240166871,0.0058141988247896684,"{'gamma': 0.1, 'C': 50}"
57,0.7700914240166871,0.0058141988247896684,"{'gamma': 0.3, 'C': 10}"
63,0.7700914240166871,0.0058141988247896684,"{'gamma': 1000, 'C': 3}"
43,0.7700914240166871,0.0058141988247896684,"{'gamma': 50, 'C': 1000}"
33,0.7700914240166871,0.0058141988247896684,"{'gamma': 1000, 'C': 1000}"
38,0.7700914240166871,0.0058141988247896684,"{'gamma': 100, 'C': 1}"
87,0.7700914240166871,0.0058141988247896684,"{'gamma': 0.3, 'C': 500}"
67,0.7700914240166871,0.0058141988247896684,"{'gamma': 10, 'C': 10}"
