,mean,std,params
89,0.6785072699474494,0.0222197784858301,"{'C': 10, 'gamma': 0.001}"
100,0.6780129495398952,0.025768862155353213,"{'C': 100, 'gamma': 0.001}"
111,0.6776162407535302,0.025847246774840724,"{'C': 1000, 'gamma': 0.001}"
78,0.6768902364070698,0.01806053524517386,"{'C': 3, 'gamma': 0.001}"
110,0.6616932253176521,0.034530235600075995,"{'C': 1000, 'gamma': 0.0001}"
99,0.6615808349324325,0.02441534028404435,"{'C': 100, 'gamma': 0.0001}"
67,0.6601802138101334,0.01844240486935223,"{'C': 1, 'gamma': 0.001}"
88,0.6599262818017475,0.028991060108459782,"{'C': 10, 'gamma': 0.0001}"
68,0.6565089922547391,0.015925973246433814,"{'C': 1, 'gamma': 0.01}"
79,0.6561514131713146,0.015866325941292406,"{'C': 3, 'gamma': 0.01}"
101,0.6558279630365437,0.015809747424180613,"{'C': 100, 'gamma': 0.01}"
112,0.6558279630365437,0.015809747424180613,"{'C': 1000, 'gamma': 0.01}"
90,0.6558279630365437,0.015809747424180613,"{'C': 10, 'gamma': 0.01}"
80,0.6555463523423117,0.015885607385927085,"{'C': 3, 'gamma': 0.03}"
91,0.6555463523423117,0.015885607385927085,"{'C': 10, 'gamma': 0.03}"
113,0.6555463523423117,0.015885607385927085,"{'C': 1000, 'gamma': 0.03}"
102,0.6555463523423117,0.015885607385927085,"{'C': 100, 'gamma': 0.03}"
105,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 1}"
117,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 3}"
116,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 1}"
115,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 0.3}"
114,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 0.1}"
109,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 1000}"
92,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 0.1}"
107,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 10}"
108,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 100}"
103,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 0.1}"
104,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 0.3}"
98,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 1000}"
97,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 100}"
96,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 10}"
95,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 3}"
94,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 1}"
106,0.6552069858264746,0.015465674205974781,"{'C': 100, 'gamma': 3}"
93,0.6552069858264746,0.015465674205974781,"{'C': 10, 'gamma': 0.3}"
118,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 10}"
70,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 0.1}"
119,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 100}"
82,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 0.3}"
87,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 1000}"
76,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 1000}"
75,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 100}"
74,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 10}"
73,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 3}"
120,0.6552069858264746,0.015465674205974781,"{'C': 1000, 'gamma': 1000}"
81,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 0.1}"
72,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 1}"
83,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 1}"
84,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 3}"
85,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 10}"
86,0.6552069858264746,0.015465674205974781,"{'C': 3, 'gamma': 100}"
71,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 0.3}"
69,0.6552069858264746,0.015465674205974781,"{'C': 1, 'gamma': 0.03}"
77,0.6543690879361415,0.021923962319776766,"{'C': 3, 'gamma': 0.0001}"
66,0.653112299806258,0.015364444485259584,"{'C': 1, 'gamma': 0.0001}"
55,0.6378262024250614,0.010098786155711073,"{'C': 0.3, 'gamma': 0.0001}"
56,0.6352331765255311,0.01145372744727741,"{'C': 0.3, 'gamma': 0.001}"
59,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 0.1}"
57,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 0.01}"
58,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 0.03}"
60,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 0.3}"
63,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 10}"
64,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 100}"
65,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 1000}"
62,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 3}"
61,0.6338257846251938,0.008269251580377902,"{'C': 0.3, 'gamma': 1}"
31,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 100}"
50,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1}"
46,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.01}"
47,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.03}"
48,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.1}"
49,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.3}"
53,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 100}"
51,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 3}"
52,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 10}"
44,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.0001}"
54,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1000}"
43,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1000}"
45,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.001}"
30,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 10}"
42,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 100}"
29,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 3}"
41,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 10}"
40,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 3}"
39,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1}"
38,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.3}"
37,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.1}"
36,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.03}"
35,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.01}"
34,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.001}"
33,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.0001}"
32,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1000}"
28,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1}"
2,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.01}"
26,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.1}"
15,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.1}"
20,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 100}"
16,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.3}"
17,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1}"
18,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 3}"
19,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 10}"
23,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.001}"
21,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1000}"
22,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.0001}"
14,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.03}"
24,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.01}"
25,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.03}"
12,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.001}"
1,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.001}"
13,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.01}"
27,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.3}"
11,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.0001}"
10,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1000}"
9,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 100}"
8,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 10}"
7,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 3}"
6,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1}"
5,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.3}"
4,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.1}"
3,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.03}"
0,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.0001}"
