,mean,std,params
28,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1}"
8,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 10}"
2,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.01}"
4,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.1}"
35,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.01}"
1,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.001}"
5,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.3}"
6,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1}"
16,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.3}"
9,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 100}"
10,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1000}"
11,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.0001}"
12,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.001}"
13,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.01}"
14,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.03}"
15,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.1}"
17,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1}"
19,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 10}"
60,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.3}"
25,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.03}"
24,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.01}"
3,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.03}"
23,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.001}"
22,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.0001}"
21,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1000}"
20,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 100}"
30,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 10}"
33,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.0001}"
26,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.1}"
27,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.3}"
29,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 3}"
18,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 3}"
31,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 100}"
32,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1000}"
34,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.001}"
7,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 3}"
36,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.03}"
53,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 100}"
51,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 3}"
0,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.0001}"
48,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.1}"
47,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.03}"
46,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.01}"
45,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.001}"
44,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.0001}"
41,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 10}"
49,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.3}"
40,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 3}"
39,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1}"
38,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.3}"
43,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1000}"
50,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1}"
42,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 100}"
59,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.1}"
65,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 1000}"
37,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.1}"
54,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1000}"
55,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.0001}"
56,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.001}"
57,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.01}"
58,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.03}"
61,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 1}"
62,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 3}"
63,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 10}"
64,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 100}"
52,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 10}"
120,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 1000}"
105,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 1}"
115,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 0.3}"
82,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 0.3}"
69,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 0.03}"
109,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 1000}"
108,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 100}"
76,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 1000}"
119,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 100}"
72,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 1}"
73,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 3}"
74,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 10}"
75,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 100}"
71,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 0.3}"
81,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 0.1}"
106,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 3}"
107,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 10}"
87,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 1000}"
92,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 0.1}"
104,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 0.3}"
84,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 3}"
85,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 10}"
86,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 100}"
70,0.6255323772272924,0.003694135096876946,"{'C': 1, 'gamma': 0.1}"
114,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 0.1}"
93,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 0.3}"
94,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 1}"
95,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 3}"
96,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 10}"
97,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 100}"
98,0.6255323772272924,0.003694135096876946,"{'C': 10, 'gamma': 1000}"
118,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 10}"
117,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 3}"
103,0.6255323772272924,0.003694135096876946,"{'C': 100, 'gamma': 0.1}"
116,0.6255323772272924,0.003694135096876946,"{'C': 1000, 'gamma': 1}"
83,0.6255323772272924,0.003694135096876946,"{'C': 3, 'gamma': 1}"
113,0.6252100383967077,0.003485137542877086,"{'C': 1000, 'gamma': 0.03}"
102,0.6252100383967077,0.003485137542877086,"{'C': 100, 'gamma': 0.03}"
68,0.6252100383967077,0.003485137542877086,"{'C': 1, 'gamma': 0.01}"
80,0.6252100383967077,0.003485137542877086,"{'C': 3, 'gamma': 0.03}"
91,0.6252100383967077,0.003485137542877086,"{'C': 10, 'gamma': 0.03}"
79,0.6248858415207867,0.0037310899444275873,"{'C': 3, 'gamma': 0.01}"
90,0.6248858415207867,0.0037310899444275873,"{'C': 10, 'gamma': 0.01}"
