,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
78,19.55776102542877,7.225425229951794,2.2050684213638307,0.9295172419625511,3,0.001,"{'C': 3, 'gamma': 0.001}",0.6320754716981132,0.6283185840707964,0.6486486486486487,0.6371681415929203,0.6428571428571429,0.6320754716981132,0.616822429906542,0.6310679611650486,0.6330275229357798,0.6504854368932039,0.635254681146631,0.009504703955172826,1
89,21.83231201171875,6.335992444548408,2.7398778438568114,0.8961496768791786,10,0.001,"{'C': 10, 'gamma': 0.001}",0.6372549019607843,0.625,0.6428571428571429,0.6371681415929203,0.6363636363636364,0.6320754716981132,0.616822429906542,0.625,0.6415094339622641,0.65,0.6344051158341404,0.00936050424881999,2
99,21.942127919197084,3.415211111976584,2.793514132499695,0.7395808420085854,100,0.0001,"{'C': 100, 'gamma': 0.0001}",0.6213592233009708,0.6261682242990654,0.6320754716981132,0.6422018348623854,0.6355140186915887,0.6310679611650486,0.6226415094339622,0.6326530612244898,0.6442307692307693,0.6526315789473685,0.6340543652853762,0.00941059681472804,3
67,22.716622233390808,2.448094512919248,3.303010630607605,0.5060121284333686,1,0.001,"{'C': 1, 'gamma': 0.001}",0.6203703703703703,0.631578947368421,0.6403508771929824,0.6283185840707964,0.6347826086956522,0.6238532110091743,0.6181818181818182,0.6296296296296297,0.6306306306306306,0.6538461538461539,0.631154283099563,0.009804930748490507,4
111,20.51084659099579,3.492339459052279,2.1405996322631835,0.6342287114292224,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.6170212765957447,0.6388888888888888,0.65625,0.6306306306306306,0.638095238095238,0.6145833333333334,0.6132075471698113,0.6122448979591837,0.6451612903225806,0.6413043478260869,0.6307387450821499,0.014797134771278557,5
113,20.63375747203827,5.367058896561981,2.1803852796554564,0.7012616033448095,1000,0.03,"{'C': 1000, 'gamma': 0.03}",0.6041666666666666,0.6476190476190476,0.65,0.6228070175438597,0.6448598130841121,0.6138613861386139,0.6382978723404256,0.6122448979591837,0.648936170212766,0.6222222222222222,0.6305015093786898,0.016466497611105402,6
102,20.491418170928956,6.307772484599936,2.321415114402771,0.7157425488292177,100,0.03,"{'C': 100, 'gamma': 0.03}",0.6041666666666666,0.6476190476190476,0.65,0.6228070175438597,0.6448598130841121,0.6138613861386139,0.6382978723404256,0.6122448979591837,0.648936170212766,0.6222222222222222,0.6305015093786898,0.016466497611105402,6
112,19.7804447889328,5.464011767545613,2.103567099571228,0.7910230339662587,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.6041666666666666,0.6476190476190476,0.6530612244897959,0.6228070175438597,0.6448598130841121,0.6185567010309279,0.6382978723404256,0.6122448979591837,0.6288659793814433,0.627906976744186,0.6298386196859649,0.015174382375568733,8
101,23.72454595565796,4.545981628229243,2.8286221027374268,0.8133465613144191,100,0.01,"{'C': 100, 'gamma': 0.01}",0.6041666666666666,0.6476190476190476,0.6530612244897959,0.6228070175438597,0.6448598130841121,0.6185567010309279,0.6382978723404256,0.6122448979591837,0.6288659793814433,0.627906976744186,0.6298386196859649,0.015174382375568733,8
92,20.517876529693602,6.234026859094257,2.486261248588562,0.7575307082450867,10,0.1,"{'C': 10, 'gamma': 0.1}",0.6041666666666666,0.6509433962264151,0.65,0.6228070175438597,0.6448598130841121,0.6019417475728155,0.6382978723404256,0.6122448979591837,0.648936170212766,0.6222222222222222,0.6296419803828466,0.018351279111459503,10
