,mean,std,params
78,0.635254681146631,0.009504703955172826,"{'C': 3, 'gamma': 0.001}"
89,0.6344051158341404,0.00936050424881999,"{'C': 10, 'gamma': 0.001}"
99,0.6340543652853762,0.00941059681472804,"{'C': 100, 'gamma': 0.0001}"
67,0.631154283099563,0.009804930748490507,"{'C': 1, 'gamma': 0.001}"
111,0.6307387450821499,0.014797134771278557,"{'C': 1000, 'gamma': 0.001}"
113,0.6305015093786898,0.016466497611105402,"{'C': 1000, 'gamma': 0.03}"
102,0.6305015093786898,0.016466497611105402,"{'C': 100, 'gamma': 0.03}"
101,0.6298386196859649,0.015174382375568733,"{'C': 100, 'gamma': 0.01}"
112,0.6298386196859649,0.015174382375568733,"{'C': 1000, 'gamma': 0.01}"
81,0.6296419803828466,0.018351279111459503,"{'C': 3, 'gamma': 0.1}"
92,0.6296419803828466,0.018351279111459503,"{'C': 10, 'gamma': 0.1}"
114,0.6293095455221099,0.017988924232357068,"{'C': 1000, 'gamma': 0.1}"
91,0.6293095455221099,0.017988924232357068,"{'C': 10, 'gamma': 0.03}"
103,0.6293095455221099,0.017988924232357068,"{'C': 100, 'gamma': 0.1}"
100,0.6288936441638385,0.009575206264804887,"{'C': 100, 'gamma': 0.001}"
90,0.6280013773385413,0.013233330511291155,"{'C': 10, 'gamma': 0.01}"
68,0.6276556218104763,0.010238210637257173,"{'C': 1, 'gamma': 0.01}"
24,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.01}"
18,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 3}"
19,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 10}"
20,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 100}"
23,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.001}"
22,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.0001}"
16,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.3}"
14,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.03}"
25,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.03}"
26,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.1}"
17,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1}"
41,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 10}"
21,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 1000}"
40,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 3}"
11,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.0001}"
0,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.0001}"
39,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1}"
38,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.3}"
37,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.1}"
36,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.03}"
35,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.01}"
34,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.001}"
33,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 0.0001}"
32,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1000}"
15,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.1}"
13,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.01}"
42,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 100}"
12,0.6274518325365783,0.003545513659952154,"{'C': 0.001, 'gamma': 0.001}"
43,0.6274518325365783,0.003545513659952154,"{'C': 0.03, 'gamma': 1000}"
44,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.0001}"
45,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.001}"
46,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.01}"
47,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.03}"
48,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.1}"
49,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 0.3}"
50,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1}"
51,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 3}"
52,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 10}"
53,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 100}"
54,0.6274518325365783,0.003545513659952154,"{'C': 0.1, 'gamma': 1000}"
55,0.6274518325365783,0.003545513659952154,"{'C': 0.3, 'gamma': 0.0001}"
30,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 10}"
29,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 3}"
31,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 100}"
27,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 0.3}"
1,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.001}"
2,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.01}"
3,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.03}"
4,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.1}"
5,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 0.3}"
6,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1}"
7,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 3}"
9,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 100}"
10,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 1000}"
28,0.6274518325365783,0.003545513659952154,"{'C': 0.01, 'gamma': 1}"
8,0.6274518325365783,0.003545513659952154,"{'C': 0.0001, 'gamma': 10}"
88,0.62740634152164,0.008292928618696904,"{'C': 10, 'gamma': 0.0001}"
58,0.6273523326342044,0.0035032988303695463,"{'C': 0.3, 'gamma': 0.03}"
71,0.6272072601096387,0.01776966508509203,"{'C': 1, 'gamma': 0.3}"
57,0.6270281357582833,0.003928994957200371,"{'C': 0.3, 'gamma': 0.01}"
79,0.6268555966476799,0.009290112126372124,"{'C': 3, 'gamma': 0.01}"
96,0.6268265210278917,0.01748488357040883,"{'C': 10, 'gamma': 10}"
73,0.6268265210278917,0.01748488357040883,"{'C': 1, 'gamma': 3}"
109,0.6268265210278917,0.01748488357040883,"{'C': 100, 'gamma': 1000}"
98,0.6268265210278917,0.01748488357040883,"{'C': 10, 'gamma': 1000}"
120,0.6268265210278917,0.01748488357040883,"{'C': 1000, 'gamma': 1000}"
87,0.6268265210278917,0.01748488357040883,"{'C': 3, 'gamma': 1000}"
72,0.6268265210278917,0.01748488357040883,"{'C': 1, 'gamma': 1}"
75,0.6268265210278917,0.01748488357040883,"{'C': 1, 'gamma': 100}"
74,0.6268265210278917,0.01748488357040883,"{'C': 1, 'gamma': 10}"
117,0.6268265210278917,0.01748488357040883,"{'C': 1000, 'gamma': 3}"
76,0.6268265210278917,0.01748488357040883,"{'C': 1, 'gamma': 1000}"
82,0.6268265210278917,0.01748488357040883,"{'C': 3, 'gamma': 0.3}"
97,0.6268265210278917,0.01748488357040883,"{'C': 10, 'gamma': 100}"
84,0.6268265210278917,0.01748488357040883,"{'C': 3, 'gamma': 3}"
118,0.6268265210278917,0.01748488357040883,"{'C': 1000, 'gamma': 10}"
115,0.6268265210278917,0.01748488357040883,"{'C': 1000, 'gamma': 0.3}"
116,0.6268265210278917,0.01748488357040883,"{'C': 1000, 'gamma': 1}"
86,0.6268265210278917,0.01748488357040883,"{'C': 3, 'gamma': 100}"
104,0.6268265210278917,0.01748488357040883,"{'C': 100, 'gamma': 0.3}"
105,0.6268265210278917,0.01748488357040883,"{'C': 100, 'gamma': 1}"
106,0.6268265210278917,0.01748488357040883,"{'C': 100, 'gamma': 3}"
107,0.6268265210278917,0.01748488357040883,"{'C': 100, 'gamma': 10}"
108,0.6268265210278917,0.01748488357040883,"{'C': 100, 'gamma': 100}"
119,0.6268265210278917,0.01748488357040883,"{'C': 1000, 'gamma': 100}"
93,0.6268265210278917,0.01748488357040883,"{'C': 10, 'gamma': 0.3}"
94,0.6268265210278917,0.01748488357040883,"{'C': 10, 'gamma': 1}"
95,0.6268265210278917,0.01748488357040883,"{'C': 10, 'gamma': 3}"
85,0.6268265210278917,0.01748488357040883,"{'C': 3, 'gamma': 10}"
83,0.6268265210278917,0.01748488357040883,"{'C': 3, 'gamma': 1}"
59,0.6263508101951603,0.005717588242662861,"{'C': 0.3, 'gamma': 0.1}"
110,0.6263376992613302,0.010800726244421249,"{'C': 1000, 'gamma': 0.0001}"
80,0.6258773009940213,0.015954865458800826,"{'C': 3, 'gamma': 0.03}"
56,0.6255157340929708,0.004463792727458383,"{'C': 0.3, 'gamma': 0.001}"
77,0.625091538953866,0.011696891684519185,"{'C': 3, 'gamma': 0.0001}"
69,0.6246937890974698,0.012876785353827745,"{'C': 1, 'gamma': 0.03}"
64,0.6243512861761797,0.008958645298840797,"{'C': 0.3, 'gamma': 100}"
60,0.6243512861761797,0.008958645298840797,"{'C': 0.3, 'gamma': 0.3}"
62,0.6243512861761797,0.008958645298840797,"{'C': 0.3, 'gamma': 3}"
63,0.6243512861761797,0.008958645298840797,"{'C': 0.3, 'gamma': 10}"
61,0.6243512861761797,0.008958645298840797,"{'C': 0.3, 'gamma': 1}"
65,0.6243512861761797,0.008958645298840797,"{'C': 0.3, 'gamma': 1000}"
66,0.6239578994356694,0.007833059623338925,"{'C': 1, 'gamma': 0.0001}"
70,0.6232213221110039,0.013708812066783564,"{'C': 1, 'gamma': 0.1}"
