,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
77,24.253903579711913,6.36508674471212,2.93521363735199,0.5365250902225362,3,0.0001,"{'C': 3, 'gamma': 0.0001}",0.631578947368421,0.6283185840707964,0.6403508771929824,0.6379310344827587,0.6434782608695652,0.6403508771929824,0.6293103448275862,0.6260869565217392,0.6239316239316239,0.6228070175438597,0.6324144524002314,0.007142984600247511,1
99,26.099856162071227,6.487270889371376,2.9656001806259153,0.848125466487558,100,0.0001,"{'C': 100, 'gamma': 0.0001}",0.6371681415929203,0.6283185840707964,0.6339285714285714,0.6379310344827587,0.6434782608695652,0.6347826086956522,0.6293103448275862,0.6228070175438597,0.6206896551724138,0.6283185840707964,0.6316732802754921,0.006714215436417131,2
88,26.567047023773192,4.587501491313425,3.8322107553482057,1.2849259714844068,10,0.0001,"{'C': 10, 'gamma': 0.0001}",0.631578947368421,0.6283185840707964,0.6339285714285714,0.6379310344827587,0.6434782608695652,0.631578947368421,0.6347826086956522,0.6260869565217392,0.6206896551724138,0.6283185840707964,0.6316692150049136,0.006063365029613143,3
66,26.564747071266176,5.849524015515139,3.6429773807525634,0.5895903812401442,1,0.0001,"{'C': 1, 'gamma': 0.0001}",0.631578947368421,0.6283185840707964,0.6347826086956522,0.6324786324786325,0.6434782608695652,0.6347826086956522,0.6293103448275862,0.6293103448275862,0.6239316239316239,0.6228070175438597,0.6310778973309376,0.005628240114793388,4
111,24.346994709968566,7.530509809395351,2.2725275993347167,0.7947131275700098,1000,0.001,"{'C': 1000, 'gamma': 0.001}",0.6371681415929203,0.6260869565217392,0.6379310344827587,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6293103448275862,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6309602268658943,0.006634688130332459,5
100,27.8638934135437,5.198133156680611,3.5407712936401365,1.0937356649767724,100,0.001,"{'C': 100, 'gamma': 0.001}",0.6371681415929203,0.6260869565217392,0.6379310344827587,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6293103448275862,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6309602268658943,0.006634688130332459,5
110,24.205497193336488,6.654206545566234,2.461274003982544,0.8221426509472524,1000,0.0001,"{'C': 1000, 'gamma': 0.0001}",0.6371681415929203,0.6228070175438597,0.6339285714285714,0.6324786324786325,0.6434782608695652,0.6347826086956522,0.6293103448275862,0.6228070175438597,0.6206896551724138,0.6283185840707964,0.6305768834223857,0.006838360631937161,7
91,26.803510856628417,6.0122834000723975,3.205176067352295,1.4390082627527678,10,0.03,"{'C': 10, 'gamma': 0.03}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
102,25.66201071739197,6.629545612718639,3.436055326461792,1.0884904320481192,100,0.03,"{'C': 100, 'gamma': 0.03}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
90,27.724477672576903,4.4757861995095745,3.423236036300659,0.43654919640717194,10,0.01,"{'C': 10, 'gamma': 0.01}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
80,26.46513044834137,5.828225248775411,3.0680822372436523,0.9583426581186699,3,0.03,"{'C': 3, 'gamma': 0.03}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
113,27.779731965065004,2.537050600465732,2.4463486671447754,0.7748692054993043,1000,0.03,"{'C': 1000, 'gamma': 0.03}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
112,24.226165080070494,5.660056213569051,2.368362045288086,0.7354987734542621,1000,0.01,"{'C': 1000, 'gamma': 0.01}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
79,27.448145699501037,5.187788195517625,2.977108931541443,1.2074796113955741,3,0.01,"{'C': 3, 'gamma': 0.01}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
101,20.838297033309935,5.560744725341094,2.960198926925659,1.3356967988982107,100,0.01,"{'C': 100, 'gamma': 0.01}",0.631578947368421,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6434782608695652,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.629421363908041,0.006080756724517271,8
89,20.894425439834595,7.4730384287470875,2.8976412534713747,1.2836478515389367,10,0.001,"{'C': 10, 'gamma': 0.001}",0.631578947368421,0.6260869565217392,0.631578947368421,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6293103448275862,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6292113760933299,0.004638235927226627,16
78,27.008780074119567,6.849868510204711,3.4110631465911867,0.8909637307012286,3,0.001,"{'C': 3, 'gamma': 0.001}",0.631578947368421,0.6260869565217392,0.631578947368421,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6293103448275862,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6292113760933299,0.004638235927226627,16
67,23.574689555168153,8.063368899121063,2.9814422369003295,1.1044232871664657,1,0.001,"{'C': 1, 'gamma': 0.001}",0.6260869565217392,0.6260869565217392,0.631578947368421,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6293103448275862,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6286621770086617,0.004650513226912239,18
82,22.863785362243654,6.635622842938583,3.055847477912903,0.9976612086376028,3,0.3,"{'C': 3, 'gamma': 0.3}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
69,25.960229921340943,7.2773218250302865,3.1993250608444215,1.0966618807085204,1,0.03,"{'C': 1, 'gamma': 0.03}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
70,27.195274662971496,6.269322250735591,3.397858738899231,0.7218110397898928,1,0.1,"{'C': 1, 'gamma': 0.1}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
86,27.053107380867004,6.049834507605619,3.891876554489136,0.7292559665118094,3,100,"{'C': 3, 'gamma': 100}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
85,25.906956124305726,4.750840589459854,3.1556050539016725,0.9816842873780245,3,10,"{'C': 3, 'gamma': 10}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
84,27.091388869285584,4.0598020053924095,3.7254472970962524,0.7285939847017701,3,3,"{'C': 3, 'gamma': 3}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
83,25.207480096817015,5.450210588664418,3.4049741506576536,1.0122659311975577,3,1,"{'C': 3, 'gamma': 1}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
87,24.38038387298584,7.146985556821147,2.875910449028015,1.0838672613531803,3,1000,"{'C': 3, 'gamma': 1000}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
68,23.940563011169434,8.562962828925203,2.887793707847595,1.0017059864950186,1,0.01,"{'C': 1, 'gamma': 0.01}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
71,22.32364077568054,6.450481489737692,3.3458468914031982,1.104560272523024,1,0.3,"{'C': 1, 'gamma': 0.3}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
72,25.709349513053894,5.444757573800018,3.3329585075378416,0.9840260580077251,1,1,"{'C': 1, 'gamma': 1}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
73,24.483059692382813,6.274264705949068,3.1271605491638184,0.9280085742767217,1,3,"{'C': 1, 'gamma': 3}",0.6260869565217392,0.6271186440677966,0.6324786324786325,0.6324786324786325,0.6379310344827587,0.6324786324786325,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6228070175438597,0.6283174421846922,0.004887236837390187,19
