,mean,std,params
77,0.6324144524002314,0.007142984600247511,"{'C': 3, 'gamma': 0.0001}"
99,0.6316732802754921,0.006714215436417131,"{'C': 100, 'gamma': 0.0001}"
88,0.6316692150049136,0.006063365029613143,"{'C': 10, 'gamma': 0.0001}"
66,0.6310778973309376,0.005628240114793388,"{'C': 1, 'gamma': 0.0001}"
100,0.6309602268658943,0.006634688130332459,"{'C': 100, 'gamma': 0.001}"
111,0.6309602268658943,0.006634688130332459,"{'C': 1000, 'gamma': 0.001}"
110,0.6305768834223857,0.006838360631937161,"{'C': 1000, 'gamma': 0.0001}"
101,0.629421363908041,0.006080756724517271,"{'C': 100, 'gamma': 0.01}"
102,0.629421363908041,0.006080756724517271,"{'C': 100, 'gamma': 0.03}"
79,0.629421363908041,0.006080756724517271,"{'C': 3, 'gamma': 0.01}"
80,0.629421363908041,0.006080756724517271,"{'C': 3, 'gamma': 0.03}"
90,0.629421363908041,0.006080756724517271,"{'C': 10, 'gamma': 0.01}"
112,0.629421363908041,0.006080756724517271,"{'C': 1000, 'gamma': 0.01}"
113,0.629421363908041,0.006080756724517271,"{'C': 1000, 'gamma': 0.03}"
91,0.629421363908041,0.006080756724517271,"{'C': 10, 'gamma': 0.03}"
78,0.6292113760933299,0.004638235927226627,"{'C': 3, 'gamma': 0.001}"
89,0.6292113760933299,0.004638235927226627,"{'C': 10, 'gamma': 0.001}"
67,0.6286621770086617,0.004650513226912239,"{'C': 1, 'gamma': 0.001}"
115,0.6283174421846922,0.004887236837390187,"{'C': 1000, 'gamma': 0.3}"
109,0.6283174421846922,0.004887236837390187,"{'C': 100, 'gamma': 1000}"
108,0.6283174421846922,0.004887236837390187,"{'C': 100, 'gamma': 100}"
107,0.6283174421846922,0.004887236837390187,"{'C': 100, 'gamma': 10}"
106,0.6283174421846922,0.004887236837390187,"{'C': 100, 'gamma': 3}"
105,0.6283174421846922,0.004887236837390187,"{'C': 100, 'gamma': 1}"
117,0.6283174421846922,0.004887236837390187,"{'C': 1000, 'gamma': 3}"
92,0.6283174421846922,0.004887236837390187,"{'C': 10, 'gamma': 0.1}"
103,0.6283174421846922,0.004887236837390187,"{'C': 100, 'gamma': 0.1}"
