,target,params
0,0.7710791540369247,"{'C': -2.659363847347754, 'gamma': 0.35476139727882305}"
150,0.7710791540369247,"{'C': -2.3036883385648643, 'gamma': 0.13132166084979513}"
138,0.7710791540369247,"{'C': -1.5985315411006962, 'gamma': 1.9204599793581902}"
139,0.7710791540369247,"{'C': -1.0064747249848849, 'gamma': 2.578881099753883}"
141,0.7710791540369247,"{'C': -0.889013132228512, 'gamma': 0.65142272056961}"
142,0.7710791540369247,"{'C': -0.9286219678074669, 'gamma': 1.1551668729685007}"
143,0.7710791540369247,"{'C': -2.717221232162564, 'gamma': -4.0}"
144,0.7710791540369247,"{'C': -1.210325297151344, 'gamma': 1.890512214016062}"
145,0.7710791540369247,"{'C': -3.7901592923689806, 'gamma': -3.228954703530677}"
146,0.7710791540369247,"{'C': -2.8484315746502946, 'gamma': 1.141641957403321}"
147,0.7710791540369247,"{'C': -3.7978721177540753, 'gamma': 2.076493480230806}"
148,0.7710791540369247,"{'C': -2.5239437877288715, 'gamma': -1.840267251739689}"
149,0.7710791540369247,"{'C': -1.1179223903204871, 'gamma': -2.0676623521212685}"
151,0.7710791540369247,"{'C': -1.8224365433568583, 'gamma': 2.0208502278290403}"
108,0.7710791540369247,"{'C': -3.9611970432670955, 'gamma': -1.4433546551552308}"
152,0.7710791540369247,"{'C': -2.66719765714692, 'gamma': 2.1866784923109224}"
153,0.7710791540369247,"{'C': -2.564770357385046, 'gamma': 0.7026157211728851}"
154,0.7710791540369247,"{'C': -2.4963873512299, 'gamma': -1.237317495323373}"
155,0.7710791540369247,"{'C': -1.0696175365210294, 'gamma': -0.4322952432990568}"
156,0.7710791540369247,"{'C': -1.7774695897182506, 'gamma': 1.421486278710523}"
157,0.7710791540369247,"{'C': -1.7760063749173032, 'gamma': -2.971264393890526}"
158,0.7710791540369247,"{'C': -1.891702850011929, 'gamma': -1.5017787820211295}"
159,0.7710791540369247,"{'C': -3.327377879929476, 'gamma': 0.696476688171534}"
160,0.7710791540369247,"{'C': -1.4820350372584503, 'gamma': -3.297021676557576}"
