,mean,std,params
0,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.0001}"
6,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 1}"
1,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.001}"
2,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.01}"
3,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.03}"
4,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.1}"
5,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.3}"
7,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 3}"
8,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 10}"
9,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 100}"
10,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 1000}"
11,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.0001}"
12,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.001}"
13,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.01}"
14,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.03}"
15,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.1}"
17,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 1}"
31,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 100}"
30,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 10}"
16,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.3}"
29,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 3}"
28,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 1}"
27,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.3}"
25,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.03}"
26,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.1}"
23,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.001}"
35,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.01}"
21,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 1000}"
20,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 100}"
19,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 10}"
18,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 3}"
24,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.01}"
32,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 1000}"
22,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.0001}"
60,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 0.3}"
49,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.3}"
33,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.0001}"
36,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.03}"
37,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.1}"
38,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.3}"
39,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 1}"
40,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 3}"
41,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 10}"
43,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 1000}"
44,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.0001}"
45,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.001}"
46,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.01}"
47,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.03}"
48,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.1}"
34,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.001}"
42,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 100}"
51,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 3}"
59,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 0.1}"
50,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 1}"
52,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 10}"
65,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 1000}"
64,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 100}"
63,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 10}"
61,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 1}"
62,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 3}"
58,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 0.03}"
57,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 0.01}"
56,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 0.001}"
55,0.7710791540369247,0.0026745951692720158,"{'C': 0.3, 'gamma': 0.0001}"
54,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 1000}"
53,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 100}"
120,0.7672005110944902,0.004493889235293672,"{'C': 1000, 'gamma': 1000}"
73,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 3}"
85,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 10}"
119,0.7672005110944902,0.004493889235293672,"{'C': 1000, 'gamma': 100}"
69,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 0.03}"
70,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 0.1}"
71,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 0.3}"
72,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 1}"
82,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 0.3}"
74,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 10}"
75,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 100}"
86,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 100}"
76,0.7672005110944902,0.004493889235293672,"{'C': 1, 'gamma': 1000}"
83,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 1}"
84,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 3}"
81,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 0.1}"
105,0.7672005110944902,0.004493889235293672,"{'C': 100, 'gamma': 1}"
87,0.7672005110944902,0.004493889235293672,"{'C': 3, 'gamma': 1000}"
108,0.7672005110944902,0.004493889235293672,"{'C': 100, 'gamma': 100}"
92,0.7672005110944902,0.004493889235293672,"{'C': 10, 'gamma': 0.1}"
98,0.7672005110944902,0.004493889235293672,"{'C': 10, 'gamma': 1000}"
93,0.7672005110944902,0.004493889235293672,"{'C': 10, 'gamma': 0.3}"
