,mean,std,params
0,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.0001}"
26,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.1}"
2,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.01}"
3,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.03}"
4,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.1}"
5,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.3}"
6,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 1}"
8,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 10}"
9,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 100}"
10,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 1000}"
11,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.0001}"
12,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.001}"
13,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.01}"
7,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 3}"
15,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.1}"
16,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.3}"
17,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 1}"
18,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 3}"
19,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 10}"
20,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 100}"
21,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 1000}"
22,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.0001}"
23,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.001}"
24,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.01}"
25,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.03}"
14,0.7710791540369247,0.0026745951692720158,"{'C': 0.001, 'gamma': 0.03}"
30,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 10}"
1,0.7710791540369247,0.0026745951692720158,"{'C': 0.0001, 'gamma': 0.001}"
27,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 0.3}"
34,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.001}"
44,0.7710791540369247,0.0026745951692720158,"{'C': 0.1, 'gamma': 0.0001}"
31,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 100}"
32,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 1000}"
33,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.0001}"
35,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.01}"
36,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.03}"
28,0.7710791540369247,0.0026745951692720158,"{'C': 0.01, 'gamma': 1}"
38,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 0.3}"
39,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 1}"
40,0.7710791540369247,0.0026745951692720158,"{'C': 0.03, 'gamma': 3}"
