,mean,std,params
95,0.7757211975268783,0.010864653282238677,"{'gamma': 1000, 'C': 0.5}"
71,0.7757211975268783,0.010864653282238677,"{'gamma': 0.3, 'C': 0.5}"
73,0.7757211975268783,0.010864653282238677,"{'gamma': 0.03, 'C': 0.5}"
58,0.7757211975268783,0.010864653282238677,"{'gamma': 5, 'C': 0.5}"
76,0.7757211975268783,0.010864653282238677,"{'gamma': 50, 'C': 0.5}"
97,0.774811478627826,0.009667946496445557,"{'gamma': 0.001, 'C': 0.3}"
55,0.7741932194023784,0.007251169820038503,"{'gamma': 1, 'C': 0.3}"
88,0.7741932194023784,0.007251169820038503,"{'gamma': 0.005, 'C': 0.3}"
11,0.7741932194023784,0.007251169820038503,"{'gamma': 10, 'C': 0.3}"
48,0.7741932194023784,0.007251169820038503,"{'gamma': 500, 'C': 0.3}"
4,0.7726125844064348,0.01418877764424414,"{'gamma': 3, 'C': 500}"
89,0.7726125844064348,0.01418877764424414,"{'gamma': 10, 'C': 10}"
78,0.7726125844064348,0.01418877764424414,"{'gamma': 0.1, 'C': 5}"
83,0.7726125844064348,0.01418877764424414,"{'gamma': 500, 'C': 1}"
79,0.7726125844064348,0.01418877764424414,"{'gamma': 10, 'C': 1}"
87,0.7726125844064348,0.01418877764424414,"{'gamma': 1000, 'C': 10}"
70,0.7726125844064348,0.01418877764424414,"{'gamma': 100, 'C': 1000}"
49,0.7726125844064348,0.01418877764424414,"{'gamma': 100, 'C': 500}"
1,0.7726125844064348,0.01418877764424414,"{'gamma': 50, 'C': 1000}"
68,0.7726125844064348,0.01418877764424414,"{'gamma': 0.2, 'C': 3}"
6,0.7726125844064348,0.01418877764424414,"{'gamma': 1000, 'C': 500}"
7,0.7726125844064348,0.01418877764424414,"{'gamma': 1, 'C': 10}"
99,0.7726125844064348,0.01418877764424414,"{'gamma': 0.2, 'C': 5}"
66,0.7726125844064348,0.01418877764424414,"{'gamma': 3, 'C': 50}"
65,0.7726125844064348,0.01418877764424414,"{'gamma': 0.2, 'C': 10}"
63,0.7726125844064348,0.01418877764424414,"{'gamma': 1000, 'C': 3}"
57,0.7726125844064348,0.01418877764424414,"{'gamma': 1, 'C': 1000}"
47,0.7726125844064348,0.01418877764424414,"{'gamma': 500, 'C': 100}"
43,0.7726125844064348,0.01418877764424414,"{'gamma': 500, 'C': 10}"
39,0.7726125844064348,0.01418877764424414,"{'gamma': 5, 'C': 5}"
41,0.7726125844064348,0.01418877764424414,"{'gamma': 0.3, 'C': 1000}"
69,0.7726125844064348,0.01418877764424414,"{'gamma': 50, 'C': 10}"
37,0.7726125844064348,0.01418877764424414,"{'gamma': 0.05, 'C': 500}"
33,0.7726125844064348,0.01418877764424414,"{'gamma': 5, 'C': 50}"
30,0.7726125844064348,0.01418877764424414,"{'gamma': 0.05, 'C': 100}"
23,0.7726125844064348,0.01418877764424414,"{'gamma': 0.05, 'C': 5}"
19,0.7726125844064348,0.01418877764424414,"{'gamma': 500, 'C': 5}"
10,0.7726125844064348,0.01418877764424414,"{'gamma': 0.3, 'C': 10}"
86,0.7723699899222674,0.013967994902801695,"{'gamma': 0.03, 'C': 10}"
60,0.7711812733552083,0.013308064548656476,"{'gamma': 0.01, 'C': 10}"
3,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.005, 'C': 0.03}"
29,0.7710791540369247,0.0026745951692720158,"{'gamma': 10, 'C': 0.005}"
92,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.001, 'C': 0.001}"
91,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.005}"
2,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.3, 'C': 0.1}"
0,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.05, 'C': 0.0001}"
5,0.7710791540369247,0.0026745951692720158,"{'gamma': 500, 'C': 0.005}"
28,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0005, 'C': 0.01}"
61,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.0001, 'C': 0.005}"
59,0.7710791540369247,0.0026745951692720158,"{'gamma': 5, 'C': 0.0005}"
94,0.7710791540369247,0.0026745951692720158,"{'gamma': 1, 'C': 0.01}"
56,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.1, 'C': 0.001}"
53,0.7710791540369247,0.0026745951692720158,"{'gamma': 0.2, 'C': 0.0005}"
52,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.01}"
77,0.7710791540369247,0.0026745951692720158,"{'gamma': 50, 'C': 0.05}"
