,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
99,14.530643343925476,1.7729741301179431,0.740141224861145,0.3715595684034571,0.1,0.0005,"{'gamma': 0.1, 'C': 0.0005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
87,18.25657184123993,4.331222545480682,2.3849395275115968,0.5304658539409708,3,0.03,"{'gamma': 3, 'C': 0.03}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
52,18.309163522720336,4.8538741403508014,2.18614022731781,0.7208516461726079,10,0.3,"{'gamma': 10, 'C': 0.3}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
51,19.600264143943786,3.9236762599132287,2.633524441719055,0.6418789619278413,100,0.3,"{'gamma': 100, 'C': 0.3}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
1,23.151438784599303,2.450896778744669,3.0671087741851806,0.7966960909187989,50,0.0005,"{'gamma': 50, 'C': 0.0005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
49,20.46097249984741,3.6430869346138386,2.7991962909698485,0.505701629008397,1000,0.3,"{'gamma': 1000, 'C': 0.3}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
85,15.831160688400269,4.993358271124104,2.0249897480010985,0.5729223840008704,0.0005,0.03,"{'gamma': 0.0005, 'C': 0.03}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
47,19.96142797470093,3.486206444363712,2.683806848526001,0.5965595219258157,5,0.3,"{'gamma': 5, 'C': 0.3}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
44,17.329733514785765,5.542404691777514,1.9905306816101074,0.7673140625616062,100,0.005,"{'gamma': 100, 'C': 0.005}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
35,20.06596462726593,3.2936280999021266,2.690142059326172,0.7905676447772185,3,0.3,"{'gamma': 3, 'C': 0.3}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
43,15.80556333065033,4.116480304261794,1.9173039674758912,0.5498177296957509,0.2,0.001,"{'gamma': 0.2, 'C': 0.001}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
88,16.81877624988556,4.570148174059795,2.31616587638855,0.6683171888873399,1000,0.05,"{'gamma': 1000, 'C': 0.05}",0.7708333333333333,0.7708333333333333,0.7708333333333333,0.7748691099476439,0.7748691099476439,0.7748691099476439,0.768421052631579,0.768421052631579,0.768421052631579,0.768421052631579,0.7710791540369247,0.0026745951692720158,1
