,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,22.40613431930542,3.94103018590456,2.149483633041382,0.6848149899879521,0.0001,0.0001,"{'C': 0.0001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
28,22.121696710586548,7.114878305859393,2.76502149105072,0.8198091614531406,0.01,1,"{'C': 0.01, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,24.469365096092226,3.347115208792482,2.5902291774749755,0.41566346518123326,0.0001,0.001,"{'C': 0.0001, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
31,25.85310218334198,4.8950516520243275,3.0510366201400756,0.6074181059665874,0.01,100,"{'C': 0.01, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
32,25.39104619026184,2.9926378544351517,2.9108575344085694,0.9208106108754673,0.01,1000,"{'C': 0.01, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
33,19.73732261657715,5.581008302498962,2.804095721244812,0.7899840988405361,0.03,0.0001,"{'C': 0.03, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
34,27.176984739303588,3.755197200578299,2.8808737277984617,0.7623749202294864,0.03,0.001,"{'C': 0.03, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
35,26.562690472602846,4.257020249166847,3.02198326587677,1.0452052558427534,0.03,0.01,"{'C': 0.03, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
36,24.381692457199097,5.141165680063881,3.21633985042572,1.0148271172876722,0.03,0.03,"{'C': 0.03, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
37,28.22961554527283,5.470672915873806,2.81790554523468,1.4182764737848028,0.03,0.1,"{'C': 0.03, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
38,24.072512793540955,6.35705755803589,3.395613694190979,0.7064256517288506,0.03,0.3,"{'C': 0.03, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
39,25.927603673934936,6.009675977517428,3.4767212152481077,0.6474799347270179,0.03,1,"{'C': 0.03, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
40,23.09762442111969,7.77552425986926,3.1944493532180784,1.1513764439281988,0.03,3,"{'C': 0.03, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
41,23.193124461174012,6.25959311458221,2.738693928718567,1.0325605184246895,0.03,10,"{'C': 0.03, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
42,19.05704782009125,5.912082463072692,2.326553559303284,0.7262480525067755,0.03,100,"{'C': 0.03, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
43,22.140065670013428,6.454631312056597,3.3848257541656492,1.054930221623914,0.03,1000,"{'C': 0.03, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
44,23.025289678573607,5.141067698030299,3.3701812982559205,0.6623309658493755,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
45,24.038896012306214,4.6537667347529155,3.067156934738159,0.9847270620210263,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
46,26.730824661254882,3.1501507884721343,3.304649829864502,0.8631005358434403,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
47,27.303437662124633,3.5478258828131084,3.268840765953064,0.9973092564884257,0.1,0.03,"{'C': 0.1, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
48,25.301687026023863,4.958792456258501,3.3598790407180785,1.0335438340647385,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
49,25.49448537826538,7.859091266739835,3.260185384750366,1.2410614048520343,0.1,0.3,"{'C': 0.1, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
50,22.349886226654053,7.629076657841837,2.9715821027755736,1.1601935218697716,0.1,1,"{'C': 0.1, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
51,23.84311249256134,6.543030276023918,3.4601725578308105,1.0869402265186272,0.1,3,"{'C': 0.1, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
52,24.77677175998688,5.861612086078904,2.779348039627075,0.7282286090081804,0.1,10,"{'C': 0.1, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
53,24.989660263061523,3.547055191984844,3.6423651456832884,0.5689077392135298,0.1,100,"{'C': 0.1, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
54,27.8413503408432,2.2024691919671864,3.3175930738449098,0.770479523045977,0.1,1000,"{'C': 0.1, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
29,25.13036699295044,5.652430309627181,3.381902813911438,1.074136874752115,0.01,3,"{'C': 0.01, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
30,24.71905176639557,6.387055438886833,2.9005926847457886,0.8564105077489502,0.01,10,"{'C': 0.01, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
27,21.469822788238524,5.691939090129149,3.100803518295288,0.7722883372318948,0.01,0.3,"{'C': 0.01, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
13,20.843250131607057,4.293805641535691,2.8850471496582033,0.9151605711360793,0.001,0.01,"{'C': 0.001, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,25.43105034828186,1.968729085481995,2.61810417175293,0.36518115325231804,0.0001,0.01,"{'C': 0.0001, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3,25.6993403673172,2.255674081844325,2.873474049568176,0.5010713278957795,0.0001,0.03,"{'C': 0.0001, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,24.421524357795715,2.907457621481248,2.5301777601242064,0.8244037596511695,0.0001,0.1,"{'C': 0.0001, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5,23.97974064350128,3.163530249556116,2.2199968576431273,0.7873452592273489,0.0001,0.3,"{'C': 0.0001, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
