,mean,std,params
0,1.0,0.0,"{'C': 0.0001, 'gamma': 0.0001}"
12,1.0,0.0,"{'C': 0.001, 'gamma': 0.001}"
3,1.0,0.0,"{'C': 0.0001, 'gamma': 0.03}"
4,1.0,0.0,"{'C': 0.0001, 'gamma': 0.1}"
5,1.0,0.0,"{'C': 0.0001, 'gamma': 0.3}"
6,1.0,0.0,"{'C': 0.0001, 'gamma': 1}"
7,1.0,0.0,"{'C': 0.0001, 'gamma': 3}"
8,1.0,0.0,"{'C': 0.0001, 'gamma': 10}"
9,1.0,0.0,"{'C': 0.0001, 'gamma': 100}"
10,1.0,0.0,"{'C': 0.0001, 'gamma': 1000}"
11,1.0,0.0,"{'C': 0.001, 'gamma': 0.0001}"
27,1.0,0.0,"{'C': 0.01, 'gamma': 0.3}"
13,1.0,0.0,"{'C': 0.001, 'gamma': 0.01}"
15,1.0,0.0,"{'C': 0.001, 'gamma': 0.1}"
26,1.0,0.0,"{'C': 0.01, 'gamma': 0.1}"
25,1.0,0.0,"{'C': 0.01, 'gamma': 0.03}"
24,1.0,0.0,"{'C': 0.01, 'gamma': 0.01}"
14,1.0,0.0,"{'C': 0.001, 'gamma': 0.03}"
22,1.0,0.0,"{'C': 0.01, 'gamma': 0.0001}"
21,1.0,0.0,"{'C': 0.001, 'gamma': 1000}"
23,1.0,0.0,"{'C': 0.01, 'gamma': 0.001}"
19,1.0,0.0,"{'C': 0.001, 'gamma': 10}"
18,1.0,0.0,"{'C': 0.001, 'gamma': 3}"
17,1.0,0.0,"{'C': 0.001, 'gamma': 1}"
16,1.0,0.0,"{'C': 0.001, 'gamma': 0.3}"
20,1.0,0.0,"{'C': 0.001, 'gamma': 100}"
2,1.0,0.0,"{'C': 0.0001, 'gamma': 0.01}"
1,1.0,0.0,"{'C': 0.0001, 'gamma': 0.001}"
29,1.0,0.0,"{'C': 0.01, 'gamma': 3}"
44,1.0,0.0,"{'C': 0.1, 'gamma': 0.0001}"
32,1.0,0.0,"{'C': 0.01, 'gamma': 1000}"
33,1.0,0.0,"{'C': 0.03, 'gamma': 0.0001}"
34,1.0,0.0,"{'C': 0.03, 'gamma': 0.001}"
35,1.0,0.0,"{'C': 0.03, 'gamma': 0.01}"
36,1.0,0.0,"{'C': 0.03, 'gamma': 0.03}"
37,1.0,0.0,"{'C': 0.03, 'gamma': 0.1}"
38,1.0,0.0,"{'C': 0.03, 'gamma': 0.3}"
39,1.0,0.0,"{'C': 0.03, 'gamma': 1}"
40,1.0,0.0,"{'C': 0.03, 'gamma': 3}"
41,1.0,0.0,"{'C': 0.03, 'gamma': 10}"
30,1.0,0.0,"{'C': 0.01, 'gamma': 10}"
42,1.0,0.0,"{'C': 0.03, 'gamma': 100}"
45,1.0,0.0,"{'C': 0.1, 'gamma': 0.001}"
51,1.0,0.0,"{'C': 0.1, 'gamma': 3}"
28,1.0,0.0,"{'C': 0.01, 'gamma': 1}"
43,1.0,0.0,"{'C': 0.03, 'gamma': 1000}"
54,1.0,0.0,"{'C': 0.1, 'gamma': 1000}"
53,1.0,0.0,"{'C': 0.1, 'gamma': 100}"
52,1.0,0.0,"{'C': 0.1, 'gamma': 10}"
50,1.0,0.0,"{'C': 0.1, 'gamma': 1}"
49,1.0,0.0,"{'C': 0.1, 'gamma': 0.3}"
48,1.0,0.0,"{'C': 0.1, 'gamma': 0.1}"
47,1.0,0.0,"{'C': 0.1, 'gamma': 0.03}"
46,1.0,0.0,"{'C': 0.1, 'gamma': 0.01}"
31,1.0,0.0,"{'C': 0.01, 'gamma': 100}"
61,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 1}"
57,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 0.01}"
58,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 0.03}"
59,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 0.1}"
60,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 0.3}"
63,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 10}"
65,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 1000}"
62,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 3}"
64,0.9945390596075528,0.009070053395273045,"{'C': 0.3, 'gamma': 100}"
56,0.9931877082562014,0.009161982564288728,"{'C': 0.3, 'gamma': 0.001}"
55,0.9714735283228434,0.019604095148766574,"{'C': 0.3, 'gamma': 0.0001}"
68,0.9442243613476491,0.016802237569298478,"{'C': 1, 'gamma': 0.01}"
75,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 100}"
119,0.9415401703072936,0.01622762350269941,"{'C': 1000, 'gamma': 100}"
120,0.9415401703072936,0.01622762350269941,"{'C': 1000, 'gamma': 1000}"
76,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 1000}"
72,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 1}"
71,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 0.3}"
81,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 0.1}"
70,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 0.1}"
84,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 3}"
82,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 0.3}"
74,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 10}"
118,0.9415401703072936,0.01622762350269941,"{'C': 1000, 'gamma': 10}"
85,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 10}"
73,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 3}"
86,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 100}"
87,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 1000}"
83,0.9415401703072936,0.01622762350269941,"{'C': 3, 'gamma': 1}"
106,0.9415401703072936,0.01622762350269941,"{'C': 100, 'gamma': 3}"
69,0.9415401703072936,0.01622762350269941,"{'C': 1, 'gamma': 0.03}"
117,0.9415401703072936,0.01622762350269941,"{'C': 1000, 'gamma': 3}"
104,0.9415401703072936,0.01622762350269941,"{'C': 100, 'gamma': 0.3}"
116,0.9415401703072936,0.01622762350269941,"{'C': 1000, 'gamma': 1}"
94,0.9415401703072936,0.01622762350269941,"{'C': 10, 'gamma': 1}"
93,0.9415401703072936,0.01622762350269941,"{'C': 10, 'gamma': 0.3}"
95,0.9415401703072936,0.01622762350269941,"{'C': 10, 'gamma': 3}"
