,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3112097024917602,0.675414477517015,0.14749274253845215,0.16119638925872443,0.0001,0.0001,"{'C': 0.0001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
43,1.3919490575790405,1.6426131003600921,0.1435316562652588,0.0829710972137084,0.03,1000,"{'C': 0.03, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
49,1.395855975151062,1.7293682713145597,0.16922314167022706,0.21067054494121484,0.1,0.3,"{'C': 0.1, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
48,1.4291985988616944,1.0650957344275989,0.2725505828857422,0.2782612328723538,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
47,1.4344297170639038,1.8404782173649779,0.20323429107666016,0.22893430739714232,0.1,0.03,"{'C': 0.1, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
46,2.735760974884033,0.7660853048266808,0.3472185850143433,0.22534295650484015,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
45,2.405428099632263,2.428594559419132,0.15455503463745118,0.1874325584586796,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
44,2.3468262910842896,2.4403414435419384,0.36939849853515627,0.49407119033427205,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
42,0.766298484802246,0.5547891154059874,0.0938162088394165,0.06208302950547317,0.03,100,"{'C': 0.03, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
34,0.9925327777862549,0.42676618032015085,0.09854693412780761,0.056075453859665024,0.03,0.001,"{'C': 0.03, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
41,0.8276416063308716,0.5670119462578792,0.07453732490539551,0.03997482834734264,0.03,10,"{'C': 0.03, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
40,0.9962296724319458,0.767795523910698,0.12858448028564454,0.06272709192360544,0.03,3,"{'C': 0.03, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
39,1.4840882539749145,1.133894335259741,0.11740415096282959,0.05691105310334233,0.03,1,"{'C': 0.03, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
38,0.8532926559448242,0.4158741604297096,0.11452205181121826,0.10809486581932436,0.03,0.3,"{'C': 0.03, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
37,0.9863842248916626,0.5368491733454123,0.1462052583694458,0.11869886939622125,0.03,0.1,"{'C': 0.03, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
36,0.860613489151001,0.5068706901987873,0.09695115089416503,0.09681319568855316,0.03,0.03,"{'C': 0.03, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
50,2.2231303691864013,1.7675848627441502,0.39390432834625244,0.4237371313898815,0.1,1,"{'C': 0.1, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
51,2.8229486465454103,1.961639837127561,0.1559014081954956,0.22114290683487461,0.1,3,"{'C': 0.1, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
52,2.8566037893295286,1.320503878936319,0.4423758745193481,0.3486934714257305,0.1,10,"{'C': 0.1, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
53,2.16571249961853,1.8821050654697924,0.3048506736755371,0.3133273133563874,0.1,100,"{'C': 0.1, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
54,2.029713821411133,1.5975417903990217,0.28404946327209474,0.2704132956907661,0.1,1000,"{'C': 0.1, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
55,2.1015313386917116,1.2600242013798328,0.2671583414077759,0.3145287906805585,0.3,0.0001,"{'C': 0.3, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
56,1.6698023796081543,1.0849277217691364,0.15000708103179933,0.13887347838578154,0.3,0.001,"{'C': 0.3, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
57,2.0757720947265623,1.1355146024728369,0.17011408805847167,0.11538850214576656,0.3,0.01,"{'C': 0.3, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
58,2.392480397224426,1.488323446217123,0.16509394645690917,0.13615111577663855,0.3,0.03,"{'C': 0.3, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
59,0.8606205940246582,0.4574835952308949,0.12548425197601318,0.07338661760174593,0.3,0.1,"{'C': 0.3, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,1.4752840280532837,0.8370094014695988,0.07034549713134766,0.04870708198314272,0.0001,0.001,"{'C': 0.0001, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
61,2.4713850021362305,1.6614871094793606,0.19280288219451905,0.17021434200086813,0.3,1,"{'C': 0.3, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
