,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,19.305982851982115,5.384576662352207,1.656982922554016,0.8413245206563152,0.0001,0.0001,"{'C': 0.0001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
50,18.666313004493713,3.6632645646987356,2.6882137298583983,0.7417113818831329,0.1,1,"{'C': 0.1, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
36,21.114586734771727,6.5011229239311,2.373839259147644,0.6187145351016046,0.03,0.03,"{'C': 0.03, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
37,21.646454191207887,3.5986393429620662,2.12677059173584,0.6608701738989163,0.03,0.1,"{'C': 0.03, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
38,21.830072903633116,2.8874877448218923,2.941965126991272,0.8599389651362136,0.03,0.3,"{'C': 0.03, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
39,20.157834577560426,5.130319200662524,2.8025595426559446,1.0219900785628462,0.03,1,"{'C': 0.03, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
40,20.672375321388245,4.751001528967173,2.6205758571624758,0.8353258199890278,0.03,3,"{'C': 0.03, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
41,21.570566153526308,3.4495444788149543,2.958825922012329,0.5010544524987877,0.03,10,"{'C': 0.03, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
42,20.390667366981507,4.214331752286092,2.5109028577804566,0.9684483970297941,0.03,100,"{'C': 0.03, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
43,20.54100546836853,3.9705988152999794,2.552997040748596,0.5642489505353193,0.03,1000,"{'C': 0.03, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
