,mean,std,params
0,1.0,0.0,"{'C': 0.0001, 'gamma': 0.0001}"
17,1.0,0.0,"{'C': 0.001, 'gamma': 1}"
2,1.0,0.0,"{'C': 0.0001, 'gamma': 0.01}"
3,1.0,0.0,"{'C': 0.0001, 'gamma': 0.03}"
4,1.0,0.0,"{'C': 0.0001, 'gamma': 0.1}"
5,1.0,0.0,"{'C': 0.0001, 'gamma': 0.3}"
6,1.0,0.0,"{'C': 0.0001, 'gamma': 1}"
7,1.0,0.0,"{'C': 0.0001, 'gamma': 3}"
8,1.0,0.0,"{'C': 0.0001, 'gamma': 10}"
9,1.0,0.0,"{'C': 0.0001, 'gamma': 100}"
10,1.0,0.0,"{'C': 0.0001, 'gamma': 1000}"
11,1.0,0.0,"{'C': 0.001, 'gamma': 0.0001}"
12,1.0,0.0,"{'C': 0.001, 'gamma': 0.001}"
14,1.0,0.0,"{'C': 0.001, 'gamma': 0.03}"
15,1.0,0.0,"{'C': 0.001, 'gamma': 0.1}"
13,1.0,0.0,"{'C': 0.001, 'gamma': 0.01}"
30,1.0,0.0,"{'C': 0.01, 'gamma': 10}"
31,1.0,0.0,"{'C': 0.01, 'gamma': 100}"
29,1.0,0.0,"{'C': 0.01, 'gamma': 3}"
28,1.0,0.0,"{'C': 0.01, 'gamma': 1}"
27,1.0,0.0,"{'C': 0.01, 'gamma': 0.3}"
26,1.0,0.0,"{'C': 0.01, 'gamma': 0.1}"
16,1.0,0.0,"{'C': 0.001, 'gamma': 0.3}"
25,1.0,0.0,"{'C': 0.01, 'gamma': 0.03}"
32,1.0,0.0,"{'C': 0.01, 'gamma': 1000}"
23,1.0,0.0,"{'C': 0.01, 'gamma': 0.001}"
35,1.0,0.0,"{'C': 0.03, 'gamma': 0.01}"
21,1.0,0.0,"{'C': 0.001, 'gamma': 1000}"
20,1.0,0.0,"{'C': 0.001, 'gamma': 100}"
19,1.0,0.0,"{'C': 0.001, 'gamma': 10}"
18,1.0,0.0,"{'C': 0.001, 'gamma': 3}"
24,1.0,0.0,"{'C': 0.01, 'gamma': 0.01}"
1,1.0,0.0,"{'C': 0.0001, 'gamma': 0.001}"
22,1.0,0.0,"{'C': 0.01, 'gamma': 0.0001}"
60,1.0,0.0,"{'C': 0.3, 'gamma': 0.3}"
49,1.0,0.0,"{'C': 0.1, 'gamma': 0.3}"
33,1.0,0.0,"{'C': 0.03, 'gamma': 0.0001}"
36,1.0,0.0,"{'C': 0.03, 'gamma': 0.03}"
37,1.0,0.0,"{'C': 0.03, 'gamma': 0.1}"
38,1.0,0.0,"{'C': 0.03, 'gamma': 0.3}"
