,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,17.69123830795288,3.9630451097102455,2.524856925010681,0.8503559548241723,0.0001,0.0001,"{'C': 0.0001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
50,20.175956678390502,4.487718870605863,2.722485661506653,0.9327727849105109,0.1,1,"{'C': 0.1, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
36,18.327998876571655,6.0135722424673945,2.419854736328125,1.265301042553471,0.03,0.03,"{'C': 0.03, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
37,23.107167029380797,4.904407685270231,3.050925874710083,1.130450833463887,0.03,0.1,"{'C': 0.03, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
38,19.971769738197327,4.952767106632978,2.2804980516433715,0.6439943163225585,0.03,0.3,"{'C': 0.03, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
39,19.62396514415741,5.424541523170229,2.252157187461853,0.8942432102113268,0.03,1,"{'C': 0.03, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
40,18.17066583633423,5.547767867924449,2.5362887382507324,0.8008390679120234,0.03,3,"{'C': 0.03, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
41,18.27707097530365,5.1641381982723065,2.2454060077667237,1.1682188845820707,0.03,10,"{'C': 0.03, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
42,21.845270180702208,5.372002927930694,3.343535566329956,1.0663176852005067,0.03,100,"{'C': 0.03, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
43,21.57303297519684,4.532378524896707,2.5198553085327147,0.9016468455583635,0.03,1000,"{'C': 0.03, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
44,20.459600043296813,5.718955108890339,3.025019979476929,0.8722383759104928,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
45,22.695080995559692,4.140299102715645,2.94482307434082,1.0576112743273829,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
46,23.864592170715333,4.470471341126253,3.183311200141907,0.84211906527679,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
47,23.720012760162355,3.3344773729964876,3.2145896434783934,0.7563411546073037,0.1,0.03,"{'C': 0.1, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
48,21.724519205093383,5.2443584918589465,2.7403109073638916,0.9158629063744791,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
49,21.87564091682434,6.176119630485095,3.0882278442382813,0.808888453298024,0.1,0.3,"{'C': 0.1, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
51,23.17988750934601,4.962665456754405,3.1343777656555174,1.10343010331397,0.1,3,"{'C': 0.1, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
34,18.43507480621338,4.555238203211695,2.179756498336792,0.6844928656026045,0.03,0.001,"{'C': 0.03, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
52,23.67530527114868,2.8791868223251957,3.415021061897278,0.7306435152866577,0.1,10,"{'C': 0.1, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
53,19.280913615226744,6.646534074697688,2.6119785785675047,1.1883636158370823,0.1,100,"{'C': 0.1, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
54,21.30944392681122,6.273151751121654,2.7237414121627808,1.2524981036609768,0.1,1000,"{'C': 0.1, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
55,21.23471360206604,4.310661234875268,2.5343236207962034,1.184891383438332,0.3,0.0001,"{'C': 0.3, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
56,23.02021312713623,3.6156698288082962,3.0076170682907106,0.5422191660191664,0.3,0.001,"{'C': 0.3, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
57,20.09672095775604,2.5330669709909066,2.6946937799453736,1.3202119543768729,0.3,0.01,"{'C': 0.3, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
58,21.901560926437377,5.4727472186034305,2.9160758018493653,1.0836161834229725,0.3,0.03,"{'C': 0.3, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
59,22.92682719230652,5.320850301786186,3.0355120658874513,0.9606611716081339,0.3,0.1,"{'C': 0.3, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,19.45136034488678,4.653738740339111,2.280597114562988,0.6153243297978324,0.0001,0.001,"{'C': 0.0001, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
61,21.428015923500062,5.180119622640889,2.7980545282363893,0.8261618755737647,0.3,1,"{'C': 0.3, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
62,23.291844844818115,5.585253723063784,2.8938376665115357,1.3850616643929234,0.3,3,"{'C': 0.3, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
63,24.095003247261047,2.999935237883643,2.8423864364624025,0.960503030098739,0.3,10,"{'C': 0.3, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
64,22.01709496974945,4.860244423834335,2.999729609489441,0.768718410055253,0.3,100,"{'C': 0.3, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
65,20.232816195487977,4.899101222267726,2.6456379890441895,0.552015665039402,0.3,1000,"{'C': 0.3, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
35,21.649607300758362,5.468562402150777,2.8194254636764526,0.9869846759430645,0.03,0.01,"{'C': 0.03, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
60,22.839292407035828,5.6072315145753135,3.0645569562911987,1.0097839694164372,0.3,0.3,"{'C': 0.3, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
33,20.529389023780823,5.052849869555011,2.5912315368652346,1.1868735130497954,0.03,0.0001,"{'C': 0.03, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
16,19.599345874786376,4.912779128084702,2.58324613571167,1.0624723097601323,0.001,0.3,"{'C': 0.001, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
32,22.255777835845947,6.543718387444539,2.5690521717071535,0.8056006845275914,0.01,1000,"{'C': 0.01, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,19.81309266090393,4.595598983563766,2.1132424592971804,1.0131252887672206,0.0001,0.01,"{'C': 0.0001, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3,23.266686749458312,4.775483349964817,2.5261342763900756,0.8109918753436792,0.0001,0.03,"{'C': 0.0001, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,23.90855507850647,3.367632373005614,2.5377591133117674,0.9559773561603426,0.0001,0.1,"{'C': 0.0001, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5,20.370977759361267,3.6059545578526904,1.9657376289367676,0.8127334444098303,0.0001,0.3,"{'C': 0.0001, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6,21.60165956020355,2.804688651892512,2.467116641998291,0.8462410148937674,0.0001,1,"{'C': 0.0001, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
8,22.540250277519227,3.7842838871358895,2.7906421422958374,0.6801960106859934,0.0001,10,"{'C': 0.0001, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
9,23.88830542564392,4.531175517276821,2.2392776250839233,0.9466622091089295,0.0001,100,"{'C': 0.0001, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
10,24.96665153503418,5.869128082224396,3.3761980295181275,1.0820709102127977,0.0001,1000,"{'C': 0.0001, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
11,20.373755192756654,5.501323889133956,2.613355565071106,1.1658706197286737,0.001,0.0001,"{'C': 0.001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
