,mean,std,params
0,1.0,0.0,"{'C': 0.0001, 'gamma': 0.0001}"
6,1.0,0.0,"{'C': 0.0001, 'gamma': 1}"
1,1.0,0.0,"{'C': 0.0001, 'gamma': 0.001}"
2,1.0,0.0,"{'C': 0.0001, 'gamma': 0.01}"
3,1.0,0.0,"{'C': 0.0001, 'gamma': 0.03}"
4,1.0,0.0,"{'C': 0.0001, 'gamma': 0.1}"
5,1.0,0.0,"{'C': 0.0001, 'gamma': 0.3}"
7,1.0,0.0,"{'C': 0.0001, 'gamma': 3}"
8,1.0,0.0,"{'C': 0.0001, 'gamma': 10}"
9,1.0,0.0,"{'C': 0.0001, 'gamma': 100}"
10,1.0,0.0,"{'C': 0.0001, 'gamma': 1000}"
11,1.0,0.0,"{'C': 0.001, 'gamma': 0.0001}"
12,1.0,0.0,"{'C': 0.001, 'gamma': 0.001}"
13,1.0,0.0,"{'C': 0.001, 'gamma': 0.01}"
14,1.0,0.0,"{'C': 0.001, 'gamma': 0.03}"
15,1.0,0.0,"{'C': 0.001, 'gamma': 0.1}"
17,1.0,0.0,"{'C': 0.001, 'gamma': 1}"
31,1.0,0.0,"{'C': 0.01, 'gamma': 100}"
30,1.0,0.0,"{'C': 0.01, 'gamma': 10}"
16,1.0,0.0,"{'C': 0.001, 'gamma': 0.3}"
29,1.0,0.0,"{'C': 0.01, 'gamma': 3}"
28,1.0,0.0,"{'C': 0.01, 'gamma': 1}"
27,1.0,0.0,"{'C': 0.01, 'gamma': 0.3}"
25,1.0,0.0,"{'C': 0.01, 'gamma': 0.03}"
26,1.0,0.0,"{'C': 0.01, 'gamma': 0.1}"
23,1.0,0.0,"{'C': 0.01, 'gamma': 0.001}"
35,1.0,0.0,"{'C': 0.03, 'gamma': 0.01}"
21,1.0,0.0,"{'C': 0.001, 'gamma': 1000}"
20,1.0,0.0,"{'C': 0.001, 'gamma': 100}"
19,1.0,0.0,"{'C': 0.001, 'gamma': 10}"
18,1.0,0.0,"{'C': 0.001, 'gamma': 3}"
24,1.0,0.0,"{'C': 0.01, 'gamma': 0.01}"
32,1.0,0.0,"{'C': 0.01, 'gamma': 1000}"
22,1.0,0.0,"{'C': 0.01, 'gamma': 0.0001}"
60,1.0,0.0,"{'C': 0.3, 'gamma': 0.3}"
49,1.0,0.0,"{'C': 0.1, 'gamma': 0.3}"
33,1.0,0.0,"{'C': 0.03, 'gamma': 0.0001}"
36,1.0,0.0,"{'C': 0.03, 'gamma': 0.03}"
37,1.0,0.0,"{'C': 0.03, 'gamma': 0.1}"
38,1.0,0.0,"{'C': 0.03, 'gamma': 0.3}"
39,1.0,0.0,"{'C': 0.03, 'gamma': 1}"
40,1.0,0.0,"{'C': 0.03, 'gamma': 3}"
41,1.0,0.0,"{'C': 0.03, 'gamma': 10}"
43,1.0,0.0,"{'C': 0.03, 'gamma': 1000}"
44,1.0,0.0,"{'C': 0.1, 'gamma': 0.0001}"
45,1.0,0.0,"{'C': 0.1, 'gamma': 0.001}"
46,1.0,0.0,"{'C': 0.1, 'gamma': 0.01}"
47,1.0,0.0,"{'C': 0.1, 'gamma': 0.03}"
48,1.0,0.0,"{'C': 0.1, 'gamma': 0.1}"
34,1.0,0.0,"{'C': 0.03, 'gamma': 0.001}"
42,1.0,0.0,"{'C': 0.03, 'gamma': 100}"
51,1.0,0.0,"{'C': 0.1, 'gamma': 3}"
59,1.0,0.0,"{'C': 0.3, 'gamma': 0.1}"
50,1.0,0.0,"{'C': 0.1, 'gamma': 1}"
52,1.0,0.0,"{'C': 0.1, 'gamma': 10}"
65,1.0,0.0,"{'C': 0.3, 'gamma': 1000}"
64,1.0,0.0,"{'C': 0.3, 'gamma': 100}"
63,1.0,0.0,"{'C': 0.3, 'gamma': 10}"
61,1.0,0.0,"{'C': 0.3, 'gamma': 1}"
62,1.0,0.0,"{'C': 0.3, 'gamma': 3}"
58,1.0,0.0,"{'C': 0.3, 'gamma': 0.03}"
57,1.0,0.0,"{'C': 0.3, 'gamma': 0.01}"
56,1.0,0.0,"{'C': 0.3, 'gamma': 0.001}"
55,1.0,0.0,"{'C': 0.3, 'gamma': 0.0001}"
54,1.0,0.0,"{'C': 0.1, 'gamma': 1000}"
53,1.0,0.0,"{'C': 0.1, 'gamma': 100}"
120,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 1000}"
73,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 3}"
85,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 10}"
119,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 100}"
69,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 0.03}"
70,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 0.1}"
71,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 0.3}"
72,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 1}"
83,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 1}"
74,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 10}"
75,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 100}"
86,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 100}"
76,0.9918733802295445,0.008975178611335653,"{'C': 1, 'gamma': 1000}"
81,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 0.1}"
82,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 0.3}"
84,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 3}"
105,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 1}"
87,0.9918733802295445,0.008975178611335653,"{'C': 3, 'gamma': 1000}"
108,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 100}"
92,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 0.1}"
104,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 0.3}"
118,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 10}"
93,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 0.3}"
94,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 1}"
103,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 0.1}"
95,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 3}"
96,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 10}"
98,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 1000}"
97,0.9918733802295445,0.008975178611335653,"{'C': 10, 'gamma': 100}"
115,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 0.3}"
106,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 3}"
107,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 10}"
109,0.9918733802295445,0.008975178611335653,"{'C': 100, 'gamma': 1000}"
114,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 0.1}"
116,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 1}"
117,0.9918733802295445,0.008975178611335653,"{'C': 1000, 'gamma': 3}"
113,0.9905220288781933,0.010561645594182018,"{'C': 1000, 'gamma': 0.03}"
102,0.9905220288781933,0.010561645594182018,"{'C': 100, 'gamma': 0.03}"
80,0.9905220288781933,0.010561645594182018,"{'C': 3, 'gamma': 0.03}"
91,0.9905220288781933,0.010561645594182018,"{'C': 10, 'gamma': 0.03}"
68,0.9905220288781933,0.010561645594182018,"{'C': 1, 'gamma': 0.01}"
67,0.989170677526842,0.013244379666681887,"{'C': 1, 'gamma': 0.001}"
79,0.9891521658644947,0.010122748419992783,"{'C': 3, 'gamma': 0.01}"
