,mean,std,params
0,1.0,0.0,"{'C': 0.0001, 'gamma': 0.0001}"
30,1.0,0.0,"{'C': 0.01, 'gamma': 10}"
2,1.0,0.0,"{'C': 0.0001, 'gamma': 0.01}"
3,1.0,0.0,"{'C': 0.0001, 'gamma': 0.03}"
4,1.0,0.0,"{'C': 0.0001, 'gamma': 0.1}"
5,1.0,0.0,"{'C': 0.0001, 'gamma': 0.3}"
6,1.0,0.0,"{'C': 0.0001, 'gamma': 1}"
7,1.0,0.0,"{'C': 0.0001, 'gamma': 3}"
27,1.0,0.0,"{'C': 0.01, 'gamma': 0.3}"
9,1.0,0.0,"{'C': 0.0001, 'gamma': 100}"
10,1.0,0.0,"{'C': 0.0001, 'gamma': 1000}"
11,1.0,0.0,"{'C': 0.001, 'gamma': 0.0001}"
12,1.0,0.0,"{'C': 0.001, 'gamma': 0.001}"
13,1.0,0.0,"{'C': 0.001, 'gamma': 0.01}"
8,1.0,0.0,"{'C': 0.0001, 'gamma': 10}"
15,1.0,0.0,"{'C': 0.001, 'gamma': 0.1}"
16,1.0,0.0,"{'C': 0.001, 'gamma': 0.3}"
17,1.0,0.0,"{'C': 0.001, 'gamma': 1}"
18,1.0,0.0,"{'C': 0.001, 'gamma': 3}"
19,1.0,0.0,"{'C': 0.001, 'gamma': 10}"
20,1.0,0.0,"{'C': 0.001, 'gamma': 100}"
21,1.0,0.0,"{'C': 0.001, 'gamma': 1000}"
14,1.0,0.0,"{'C': 0.001, 'gamma': 0.03}"
22,1.0,0.0,"{'C': 0.01, 'gamma': 0.0001}"
23,1.0,0.0,"{'C': 0.01, 'gamma': 0.001}"
24,1.0,0.0,"{'C': 0.01, 'gamma': 0.01}"
25,1.0,0.0,"{'C': 0.01, 'gamma': 0.03}"
1,1.0,0.0,"{'C': 0.0001, 'gamma': 0.001}"
26,1.0,0.0,"{'C': 0.01, 'gamma': 0.1}"
34,1.0,0.0,"{'C': 0.03, 'gamma': 0.001}"
44,1.0,0.0,"{'C': 0.1, 'gamma': 0.0001}"
31,1.0,0.0,"{'C': 0.01, 'gamma': 100}"
32,1.0,0.0,"{'C': 0.01, 'gamma': 1000}"
33,1.0,0.0,"{'C': 0.03, 'gamma': 0.0001}"
35,1.0,0.0,"{'C': 0.03, 'gamma': 0.01}"
36,1.0,0.0,"{'C': 0.03, 'gamma': 0.03}"
37,1.0,0.0,"{'C': 0.03, 'gamma': 0.1}"
38,1.0,0.0,"{'C': 0.03, 'gamma': 0.3}"
39,1.0,0.0,"{'C': 0.03, 'gamma': 1}"
40,1.0,0.0,"{'C': 0.03, 'gamma': 3}"
41,1.0,0.0,"{'C': 0.03, 'gamma': 10}"
42,1.0,0.0,"{'C': 0.03, 'gamma': 100}"
28,1.0,0.0,"{'C': 0.01, 'gamma': 1}"
43,1.0,0.0,"{'C': 0.03, 'gamma': 1000}"
45,1.0,0.0,"{'C': 0.1, 'gamma': 0.001}"
46,1.0,0.0,"{'C': 0.1, 'gamma': 0.01}"
47,1.0,0.0,"{'C': 0.1, 'gamma': 0.03}"
48,1.0,0.0,"{'C': 0.1, 'gamma': 0.1}"
49,1.0,0.0,"{'C': 0.1, 'gamma': 0.3}"
50,1.0,0.0,"{'C': 0.1, 'gamma': 1}"
51,1.0,0.0,"{'C': 0.1, 'gamma': 3}"
52,1.0,0.0,"{'C': 0.1, 'gamma': 10}"
53,1.0,0.0,"{'C': 0.1, 'gamma': 100}"
54,1.0,0.0,"{'C': 0.1, 'gamma': 1000}"
55,1.0,0.0,"{'C': 0.3, 'gamma': 0.0001}"
29,1.0,0.0,"{'C': 0.01, 'gamma': 3}"
56,0.9918548685671972,0.012442261007480882,"{'C': 0.3, 'gamma': 0.001}"
58,0.9904664938911514,0.013713943730468366,"{'C': 0.3, 'gamma': 0.03}"
57,0.9891151425398,0.014671890937606144,"{'C': 0.3, 'gamma': 0.01}"
66,0.9741947426878934,0.024672678028590054,"{'C': 1, 'gamma': 0.0001}"
59,0.9728063680118476,0.030987267622255177,"{'C': 0.3, 'gamma': 0.1}"
60,0.9537578674564976,0.05234624170854354,"{'C': 0.3, 'gamma': 0.3}"
61,0.9537578674564976,0.05234624170854354,"{'C': 0.3, 'gamma': 1}"
63,0.9537578674564976,0.05234624170854354,"{'C': 0.3, 'gamma': 10}"
64,0.9537578674564976,0.05234624170854354,"{'C': 0.3, 'gamma': 100}"
65,0.9537578674564976,0.05234624170854354,"{'C': 0.3, 'gamma': 1000}"
62,0.9537578674564976,0.05234624170854354,"{'C': 0.3, 'gamma': 3}"
67,0.9483154387263977,0.027039551195349766,"{'C': 1, 'gamma': 0.001}"
77,0.9443539429840799,0.02214047441236199,"{'C': 3, 'gamma': 0.0001}"
68,0.9414846353202517,0.033489582347118796,"{'C': 1, 'gamma': 0.01}"
78,0.9346723435764532,0.03164936155931337,"{'C': 3, 'gamma': 0.001}"
88,0.9266567937800815,0.027830214243371773,"{'C': 10, 'gamma': 0.0001}"
89,0.9238059977786005,0.03300772150223123,"{'C': 10, 'gamma': 0.001}"
69,0.9075527582376898,0.054540094948931056,"{'C': 1, 'gamma': 0.03}"
79,0.9060533135875601,0.05252122694970822,"{'C': 3, 'gamma': 0.01}"
99,0.89394668641244,0.030553043059293933,"{'C': 100, 'gamma': 0.0001}"
70,0.8884487226952981,0.06106094764852065,"{'C': 1, 'gamma': 0.1}"
100,0.8884487226952981,0.04741437721736121,"{'C': 100, 'gamma': 0.001}"
80,0.8843761569788967,0.05877067681762678,"{'C': 3, 'gamma': 0.03}"
90,0.8761754905590522,0.06144251636472623,"{'C': 10, 'gamma': 0.01}"
110,0.8653831914105886,0.052879936541575995,"{'C': 1000, 'gamma': 0.0001}"
71,0.859829692706405,0.06148797383862768,"{'C': 1, 'gamma': 0.3}"
97,0.8584598296927064,0.06216105961144649,"{'C': 10, 'gamma': 100}"
73,0.8584598296927064,0.06216105961144649,"{'C': 1, 'gamma': 3}"
74,0.8584598296927064,0.06216105961144649,"{'C': 1, 'gamma': 10}"
75,0.8584598296927064,0.06216105961144649,"{'C': 1, 'gamma': 100}"
76,0.8584598296927064,0.06216105961144649,"{'C': 1, 'gamma': 1000}"
82,0.8584598296927064,0.06216105961144649,"{'C': 3, 'gamma': 0.3}"
98,0.8584598296927064,0.06216105961144649,"{'C': 10, 'gamma': 1000}"
84,0.8584598296927064,0.06216105961144649,"{'C': 3, 'gamma': 3}"
83,0.8584598296927064,0.06216105961144649,"{'C': 3, 'gamma': 1}"
85,0.8584598296927064,0.06216105961144649,"{'C': 3, 'gamma': 10}"
86,0.8584598296927064,0.06216105961144649,"{'C': 3, 'gamma': 100}"
120,0.8584598296927064,0.06216105961144649,"{'C': 1000, 'gamma': 1000}"
87,0.8584598296927064,0.06216105961144649,"{'C': 3, 'gamma': 1000}"
93,0.8584598296927064,0.06216105961144649,"{'C': 10, 'gamma': 0.3}"
94,0.8584598296927064,0.06216105961144649,"{'C': 10, 'gamma': 1}"
96,0.8584598296927064,0.06216105961144649,"{'C': 10, 'gamma': 10}"
72,0.8584598296927064,0.06216105961144649,"{'C': 1, 'gamma': 1}"
119,0.8584598296927064,0.06216105961144649,"{'C': 1000, 'gamma': 100}"
95,0.8584598296927064,0.06216105961144649,"{'C': 10, 'gamma': 3}"
105,0.8584598296927064,0.06216105961144649,"{'C': 100, 'gamma': 1}"
109,0.8584598296927064,0.06216105961144649,"{'C': 100, 'gamma': 1000}"
106,0.8584598296927064,0.06216105961144649,"{'C': 100, 'gamma': 3}"
115,0.8584598296927064,0.06216105961144649,"{'C': 1000, 'gamma': 0.3}"
116,0.8584598296927064,0.06216105961144649,"{'C': 1000, 'gamma': 1}"
107,0.8584598296927064,0.06216105961144649,"{'C': 100, 'gamma': 10}"
104,0.8584598296927064,0.06216105961144649,"{'C': 100, 'gamma': 0.3}"
117,0.8584598296927064,0.06216105961144649,"{'C': 1000, 'gamma': 3}"
118,0.8584598296927064,0.06216105961144649,"{'C': 1000, 'gamma': 10}"
108,0.8584598296927064,0.06216105961144649,"{'C': 100, 'gamma': 100}"
81,0.8570899666790078,0.062497521505874565,"{'C': 3, 'gamma': 0.1}"
