,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,23.47266001701355,4.256423945294629,3.0516018867492676,0.8496157953780001,0.0001,0.0001,"{'C': 0.0001, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
50,24.177253460884096,5.170450671628053,3.1410643815994264,1.1588574991513803,0.1,1,"{'C': 0.1, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
36,27.904734897613526,5.954120652813996,3.4628194332122804,1.176319251285801,0.03,0.03,"{'C': 0.03, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
37,28.18650851249695,6.442358120969344,3.739828372001648,1.300044910249039,0.03,0.1,"{'C': 0.03, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
38,30.55465109348297,2.2746605487057114,3.797567844390869,1.0311540741590899,0.03,0.3,"{'C': 0.03, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
39,27.06528754234314,6.051726366302798,3.2357744693756105,1.254647479065914,0.03,1,"{'C': 0.03, 'gamma': 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
40,23.624264812469484,8.188867945660485,3.127163219451904,0.8950714524742719,0.03,3,"{'C': 0.03, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
41,23.677555799484253,6.733147242093244,3.3048132181167604,1.162111994092984,0.03,10,"{'C': 0.03, 'gamma': 10}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
42,25.959577441215515,4.270886055798843,3.536490535736084,1.4254150813270583,0.03,100,"{'C': 0.03, 'gamma': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
43,25.726304626464845,5.028831687899914,3.029677987098694,0.5970993587759044,0.03,1000,"{'C': 0.03, 'gamma': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
44,28.49271159172058,2.8766928670365504,3.434575009346008,1.0603569078135742,0.1,0.0001,"{'C': 0.1, 'gamma': 0.0001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
45,25.219460558891296,6.904637431680677,3.1666433811187744,1.118927722934172,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
46,25.99995627403259,5.6603502629655935,3.315957045555115,0.8176035872400487,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
47,25.577461743354796,6.04307095648903,2.9855483770370483,1.338390818067349,0.1,0.03,"{'C': 0.1, 'gamma': 0.03}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
48,29.11455354690552,3.499965135075991,3.417034387588501,1.0083906181929982,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
49,23.1275762796402,5.024436034232896,2.771501135826111,0.8086299817458785,0.1,0.3,"{'C': 0.1, 'gamma': 0.3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
51,28.70335187911987,2.3826677476442653,3.8930832624435423,0.991379060067891,0.1,3,"{'C': 0.1, 'gamma': 3}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
34,29.04359562397003,7.026770259676679,3.415647029876709,1.3905035003550779,0.03,0.001,"{'C': 0.03, 'gamma': 0.001}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
